split,class,median_nrmse,median_corr,n
val,NORM,0.3635528087615967,0.9263871430593476,914
val,MI,0.44222790002822876,0.8906064827494239,233
val,STTC,0.40233397483825684,0.9125919746066965,255
val,CD,0.40266042947769165,0.9042990972700177,171
test,NORM,0.36588847637176514,0.9273501938791029,912
test,MI,0.412094384431839,0.9003050556319967,256
test,STTC,0.3821721076965332,0.917878487606131,242
test,CD,0.42072272300720215,0.9020329776022644,184
