lead,median_corr,median_nrmse
I,0.9435165735602313,0.40516287088394165
II,0.9225382726618949,0.44529634714126587
III,0.9104951927386884,0.43063658475875854
aVR,0.9422883336149479,0.4014042615890503
aVL,0.9288415283196985,0.425045907497406
aVF,0.9057228005362741,0.47338753938674927
V1,0.9585302480140311,0.3497981131076813
V2,0.9428575075011172,0.3939747214317322
V3,0.931568064171342,0.4150752127170563
V4,0.9429855064059698,0.41465604305267334
V5,0.956217038116838,0.37165600061416626
V6,0.9605705227732785,0.3607724905014038
