model,split,macro_auroc,macro_auprc,macro_f1,balanced_accuracy,auroc_ci_lo,auroc_ci_hi,n
B1_resnet1d,val,0.9311934689100102,0.8065227877608647,0.7263517456391253,0.75672262302145,0.9207328703807,0.9423913652893305,1573
B1_resnet1d,test,0.9241161128121441,0.8078665125975274,0.7336926022758499,0.7557483912153047,0.9128163257610415,0.9359372296593641,1594
