model,split,class,auroc,auprc,f1,sensitivity,specificity,support
B0_xgboost,val,NORM,0.9365874958079179,0.948813894259837,0.8862212943632568,0.9288840262582057,0.7678300455235205,914
B0_xgboost,val,MI,0.901444494266863,0.6898402220546169,0.5885286783042394,0.5064377682403434,0.9626865671641791,233
B0_xgboost,val,STTC,0.9478324258383171,0.7765478824186645,0.7045009784735812,0.7058823529411765,0.9423368740515933,255
B0_xgboost,val,CD,0.9386006623787237,0.8416639595736424,0.7735849056603774,0.7192982456140351,0.9828815977175464,171
B0_xgboost,test,NORM,0.9200365282708236,0.9295147350472744,0.8736681887366818,0.944078947368421,0.7096774193548387,912
B0_xgboost,test,MI,0.9077622851270554,0.7324790248203946,0.6275395033860045,0.54296875,0.9641255605381166,256
B0_xgboost,test,STTC,0.9433254682380556,0.7860447616693883,0.7186147186147186,0.6859504132231405,0.9600591715976331,242
B0_xgboost,test,CD,0.9087341967314214,0.7865877697225954,0.717948717948718,0.6086956521739131,0.9886524822695035,184
