model,split,class,auroc,auprc,f1,sensitivity,specificity,support
B1_resnet1d,val,NORM,0.9351547168808917,0.9526614004619102,0.8482352941176471,0.7888402625820569,0.9013657056145675,914
B1_resnet1d,val,MI,0.914403305361604,0.6875701717863397,0.6129032258064516,0.6523605150214592,0.9171641791044776,233
B1_resnet1d,val,STTC,0.9428218631914069,0.7503239190767735,0.6978297161936561,0.8196078431372549,0.8975720789074355,255
B1_resnet1d,val,CD,0.9323939902061382,0.8355356597184356,0.7464387464387464,0.7660818713450293,0.9650499286733238,171
B1_resnet1d,test,NORM,0.9233903122909916,0.9344747694531689,0.839907192575406,0.793859649122807,0.8709677419354839,912
B1_resnet1d,test,MI,0.9103168208146488,0.7196960243110798,0.64376130198915,0.6953125,0.9110612855007474,256
B1_resnet1d,test,STTC,0.9449728593085237,0.7670785760458084,0.6983546617915904,0.7892561983471075,0.915680473372781,242
B1_resnet1d,test,CD,0.9177844588344125,0.8102166805800525,0.7527472527472527,0.7445652173913043,0.9695035460992908,184
