feature,kw_p,NORM_mean,NORM_std,MI_mean,MI_std,STTC_mean,STTC_std,CD_mean,CD_std,expect,cliffs_delta,direction_ok,fdr_q
D_rep_old_APDdisp,3.384606720797994e-05,0.11137451976537704,0.05435827374458313,0.10878963768482208,0.04401356726884842,0.10624294728040695,0.03691798076033592,0.13395458459854126,0.06135872006416321,,,,3.596144640847869e-05
APD_mean,9.305412559080564e-07,0.2587924897670746,0.023237651214003563,0.2641059160232544,0.02195781283080578,0.2668916881084442,0.020797424018383026,0.25830626487731934,0.02399624139070511,,,,1.12994295360264e-06
APD_disp,3.384606720797994e-05,0.11137451976537704,0.05435827374458313,0.10878963768482208,0.04401356726884842,0.10624294728040695,0.03691798076033592,0.13395458459854126,0.06135872006416321,,,,3.596144640847869e-05
APD_cv,3.626220000648842e-09,0.1355362981557846,0.05460505560040474,0.13658198714256287,0.04721371456980705,0.13568797707557678,0.0402706079185009,0.1694420874118805,0.06640990078449249,,,,4.741980000848486e-09
tau_rep_mean,3.2161263871506024e-51,0.06607791781425476,0.005281176418066025,0.06872384250164032,0.005724158138036728,0.07231660187244415,0.005251480732113123,0.06711364537477493,0.0057866633869707584,,,,9.112358096926706e-51
tau_rep_disp,1.2308177438517067e-81,0.05705372989177704,0.006593912839889526,0.04924454912543297,0.009258932434022427,0.0462094284594059,0.008270753547549248,0.050333522260189056,0.009475992061197758,STTC up vs NORM,-0.6846001884877483,False,2.0923901645479016e-80
tau_rep_cv,3.497486450256044e-80,0.32332098484039307,0.056283529847860336,0.27165961265563965,0.07157591730356216,0.2334071397781372,0.05667072907090187,0.2844269871711731,0.06836754828691483,,,,2.972863482717638e-79
Tend_mean,7.921516305351906e-23,0.38353708386421204,0.02817767858505249,0.39479896426200867,0.028666174039244652,0.40424844622612,0.027297114953398705,0.39187783002853394,0.03250807896256447,,,,1.346657771909824e-22
Tend_disp,2.6026653989107606e-13,0.22786766290664673,0.07913710176944733,0.20065990090370178,0.07389245927333832,0.19025087356567383,0.060218024998903275,0.23619623482227325,0.08924027532339096,STTC up vs NORM,-0.27306256343337687,False,3.6871093151235775e-13
Tend_cv,1.7379371523744556e-28,0.19441671669483185,0.055153556168079376,0.16714800894260406,0.05496496334671974,0.15317337214946747,0.040682561695575714,0.1922363042831421,0.05973302945494652,,,,3.282770176707305e-28
Sync_rep,2.0214696965964011e-16,0.24737520515918732,0.10899966955184937,0.29270800948143005,0.119740329682827,0.3064507246017456,0.10194848477840424,0.24853993952274323,0.12073802947998047,STTC down vs NORM,0.3185986660867044,False,3.124089531103529e-16
Tpeak_maxabs,9.545809471065236e-66,0.3715212047100067,0.14629673957824707,0.2857520878314972,0.13794058561325073,0.19724352657794952,0.10875007510185242,0.46727320551872253,0.3427901268005371,STTC down vs NORM,-0.6835580687255328,True,3.24557522016218e-65
Tarea_mean,4.052919205931462e-49,0.009030699729919434,0.005095338448882103,0.007387726102024317,0.005702425725758076,0.003429209813475609,0.004290720447897911,0.01332700252532959,0.012920225970447063,,,,9.842803785833549e-49
Tabsarea_mean,1.2407877098688214e-73,0.02378116361796856,0.0081379609182477,0.018795035779476166,0.0070188394747674465,0.014043092727661133,0.005274830851703882,0.029542768374085426,0.01733837090432644,,,,7.031130355923321e-73
Tasym_mean,0.0002707564559744459,0.1776603101097646,0.20698894340816185,0.16764718020374758,0.2446753002107354,0.2274905907884943,0.32167968092784227,0.24260604352837065,0.2274318727543873,,,,0.0002707564559744459
Tlowamp_mean,1.0333130794895535e-67,0.5180985331535339,0.09905380010604858,0.5847303867340088,0.10479041188955307,0.648267388343811,0.09014731645584106,0.4827210009098053,0.13606445491313934,,,,4.391580587830602e-67
T_sign_discordance_rate,3.6451242008124304e-38,0.2889254385964912,0.17436997506101887,0.3662109375,0.18334164456110644,0.4228650137741047,0.1351653110129094,0.3428442028985507,0.16121089160684465,STTC up vs NORM,0.5060578874873134,True,7.745888926726415e-38
