a,b,corr
Tend_disp,Sync_rep,-0.9475389804468698
S_ST_internal_L2,ST_projected_L2,0.8334716664071016
D_rep_old_APDdisp,Tend_disp,0.8113447372308679
D_rep_old_APDdisp,Sync_rep,-0.675741745254889
tau_rep_disp,Tpeak_maxabs,0.49549353773772936
tau_rep_disp,Sync_rep,-0.4765728689310342
tau_rep_disp,Tend_disp,0.44127722760532556
tau_rep_disp,T_sign_discordance_rate,-0.33931703202027547
Tend_disp,Tpeak_maxabs,0.3103747267048251
Sync_rep,Tpeak_maxabs,-0.29307673558766417
tau_rep_disp,ST_projected_L2,0.2660838570806598
T_sign_discordance_rate,Tpeak_maxabs,-0.2276132636069296
ST_projected_L2,Sync_rep,-0.21168114094644097
D_rep_old_APDdisp,Tpeak_maxabs,0.1905887965714601
Sync_rep,T_sign_discordance_rate,0.12630621818480559
S_ST_internal_L2,T_sign_discordance_rate,-0.11973150779392636
Tend_disp,ST_projected_L2,0.11320672535009271
Tend_disp,T_sign_discordance_rate,-0.11021293054601572
tau_rep_disp,S_ST_internal_L2,0.1036478846544004
S_ST_internal_L2,Sync_rep,-0.10163266364814788
ST_projected_L2,T_sign_discordance_rate,-0.09901807901396471
D_rep_old_APDdisp,ST_projected_L2,-0.09791849915100051
ST_projected_L2,Tpeak_maxabs,0.09652147481406656
D_rep_old_APDdisp,tau_rep_disp,0.0756766867164825
D_rep_old_APDdisp,S_ST_internal_L2,-0.05113523124162934
Tend_disp,S_ST_internal_L2,0.03908399532913954
D_rep_old_APDdisp,T_sign_discordance_rate,0.01462917254572318
S_ST_internal_L2,Tpeak_maxabs,0.013577629934452962
