feature_group,class,auroc,auprc,f1,sensitivity,specificity,support
C0_theta,NORM,0.8975391649945978,0.9096587573047377,0.859,0.9418859649122807,0.6642228739002932,912
C0_theta,MI,0.8774173206278028,0.671799364747625,0.5958429561200924,0.50390625,0.9641255605381166,256
C0_theta,STTC,0.9301555088268375,0.7562267683024649,0.6742081447963801,0.6157024793388429,0.9622781065088757,242
C0_theta,CD,0.8992599444958371,0.7700355006858789,0.6964856230031949,0.592391304347826,0.9858156028368794,184
C1_theta_old,NORM,0.8983719838452436,0.9091082949266711,0.858,0.9407894736842105,0.6627565982404692,912
C1_theta_old,MI,0.8759926195814649,0.6675037922406857,0.5898617511520737,0.5,0.9626307922272048,256
C1_theta_old,STTC,0.9304305834026113,0.7512323494832037,0.6727272727272727,0.6115702479338843,0.9630177514792899,242
C1_theta_old,CD,0.9009867406722171,0.7720805243316786,0.6942675159235668,0.592391304347826,0.9851063829787234,184
C2_theta_rep,NORM,0.8984025312548233,0.9097892879710754,0.8571428571428571,0.9407894736842105,0.6598240469208211,912
C2_theta_rep,MI,0.8780858791106129,0.6729765043125253,0.5827505827505828,0.48828125,0.9641255605381166,256
C2_theta_rep,STTC,0.9290857743654947,0.74388922551904,0.6651685393258427,0.6115702479338843,0.959319526627219,242
C2_theta_rep,CD,0.8961763798951589,0.7664105022497558,0.6858974358974359,0.5815217391304348,0.9851063829787234,184
C3_theta_st,NORM,0.8976195529145444,0.910210284737618,0.8562874251497006,0.9407894736842105,0.656891495601173,912
C3_theta_st,MI,0.8735227485052318,0.6693235383814782,0.585812356979405,0.5,0.9603886397608371,256
C3_theta_st,STTC,0.9299721257763215,0.7534946746960972,0.6621004566210046,0.5991735537190083,0.9622781065088757,242
C3_theta_st,CD,0.8970513413506014,0.7681233320324172,0.6925566343042071,0.5815217391304348,0.9872340425531915,184
C4_theta_stab,NORM,0.8972658460667798,0.9104466211549067,0.8585657370517928,0.9451754385964912,0.656891495601173,912
C4_theta_stab,MI,0.8741358370702541,0.6644716336955687,0.586046511627907,0.4921875,0.9641255605381166,256
C4_theta_stab,STTC,0.9299323927820431,0.7558736850533004,0.6772727272727272,0.6157024793388429,0.9637573964497042,242
C4_theta_stab,CD,0.8982500770891151,0.7686523555845926,0.6838709677419355,0.5760869565217391,0.9858156028368794,184
C5_theta_rep_st_stab,NORM,0.8994395354221331,0.9115985074800803,0.8541353383458646,0.9342105263157895,0.6612903225806451,912
C5_theta_rep_st_stab,MI,0.8770290312032885,0.6695935337452453,0.573394495412844,0.48828125,0.9588938714499252,256
C5_theta_rep_st_stab,STTC,0.9302655386571471,0.7533002071647306,0.6606741573033708,0.6074380165289256,0.9585798816568047,242
C5_theta_rep_st_stab,CD,0.89890918902251,0.7692936136278058,0.6923076923076923,0.5869565217391305,0.9858156028368794,184
C6_compact_heuristic,NORM,0.8908018534238823,0.9061101343303336,0.8430493273542601,0.9276315789473685,0.6348973607038123,912
C6_compact_heuristic,MI,0.8647147094544095,0.6225732642470106,0.5299539170506913,0.44921875,0.952914798206278,256
C6_compact_heuristic,STTC,0.9189263533669128,0.6953022558937993,0.6258503401360545,0.5702479338842975,0.9548816568047337,242
C6_compact_heuristic,CD,0.9006359851988899,0.7678955799386892,0.7058823529411765,0.5869565217391305,0.9900709219858156,184
