a,b,abs_corr,corr
edge_leaf2,edge_leaf4,0.9995581812381212,0.9995581812381212
edge_leaf1,edge_leaf2,0.9991927929275755,0.9991927929275755
edge_leaf1,edge_leaf4,0.9991383471739895,0.9991383471739895
edge_leaf1,edge_leaf3,0.9983105001970288,0.9983105001970288
edge_leaf3,edge_leaf4,0.9978757820439769,0.9978757820439769
edge_leaf2,edge_leaf3,0.9973924256935585,0.9973924256935585
edge_leaf0,edge_leaf2,0.9971667423844167,0.9971667423844167
edge_leaf0,edge_leaf4,0.9970932451131391,0.9970932451131391
edge_leaf0,edge_leaf1,0.9957568692786932,0.9957568692786932
edge_leaf0,edge_leaf3,0.9944498642851538,0.9944498642851538
edge_prox1,edge_leaf2,0.8388706969431646,-0.8388706969431646
edge_prox1,edge_leaf4,0.8381283490047566,-0.8381283490047566
edge_prox1,edge_leaf0,0.8381065649356637,-0.8381065649356637
edge_prox1,edge_leaf1,0.8377441842876138,-0.8377441842876138
edge_prox1,edge_leaf3,0.8376479691718809,-0.8376479691718809
alpha_ST2,alpha_ST5,0.7762768391439059,0.7762768391439059
q4,q7,0.7641836444102,0.7641836444102
q5,q7,0.7611595006553221,0.7611595006553221
tau_dep0,q0,0.7226631191574326,0.7226631191574326
alpha_ST2,alpha_ST3,0.7124322873575633,0.7124322873575633
