param,identifiability_score
tau_dep5,50.550154669820735
tau_dep7,42.63804190613973
APD4,42.49066880312061
q2,36.22844288966738
q1,29.804641073925712
tau_dep4,29.584105027461465
q7,29.288814731070225
tau_dep6,29.184532511361304
tau_dep3,26.272855881147645
APD3,25.87130415849734
APD7,24.89328863353728
q3,24.089213453644827
q6,17.997108861637546
tau_rep4,17.752830583883167
global_gain,16.31419101059347
APD5,15.67400644358604
q5,14.348177660590405
delta_root,13.7208292742643
tau_rep7,12.569023542582332
tau_rep3,12.009388146919454
q0,11.723486919210782
q4,10.838371090917834
edge_prox0,9.992699947960896
APD6,9.627529335373698
tau_rep5,7.735566958501414
tau_rep6,4.837798607474279
tau_rep1,4.31540727381149
edge_leaf2,3.381334505556021
edge_leaf1,3.37439279169126
edge_leaf3,3.3689972525667073
edge_leaf4,3.3676554418931435
edge_leaf0,3.349120265991452
APD2,2.9484772025589816
APD1,2.9325904262093885
tau_dep0,2.671779902307409
tau_dep1,2.3362054362683478
edge_prox1,2.3188657407044713
tau_dep2,1.6785824517261332
tau_rep0,1.55014710305784
APD0,1.397803490657734
tau_rep2,1.3910933709144955
alpha_ST0,0.4306225001200384
alpha_ST5,0.3917902668266907
alpha_ST1,0.35442022699319403
alpha_ST4,0.33448286556860934
alpha_ST3,0.23209671053592898
alpha_ST2,0.1865460881526804
