lead_set,n_leads,n_samples,effective_rank,rank95,rank99,condition_number,logdet
L12,12,400,4.362203598022461,9,17,1000000.0,239.59796142578125
L3a_II_V1_V5,3,400,3.5297772884368896,8,16,1000000.0625,170.33056640625
L3b_I_II_V5,3,400,2.839658498764038,6,13,1000000.0,144.10150146484375
L1_II,1,400,2.8422083854675293,4,10,1000000.0,26.01190948486328
