class,n,D_opt,A_opt,E_opt,DAE_agree,D_eq_I+V1+V4,best_D_logdet,clinical_logdet,best_minus_clinical
NORM,100,I+V1+V4,I+V1+V4,V1+V2+V4,False,True,159.4615345546936,148.16181305028033,11.29972150441327
MI,100,I+V1+V4,I+V1+V5,V1+V2+V4,False,True,154.02258986629462,142.67043443884887,11.352155427445751
STTC,100,I+V1+V4,I+V1+V5,V1+V2+V5,False,True,148.34102793552526,137.06486591585508,11.276162019670181
CD,100,I+V1+V4,I+V1+V5,I+V1+V4,False,True,201.83168272921327,190.93625685745835,10.895425871754924
