class,n,D_opt,A_opt,E_opt,DAE_agree,D_eq_I+V1+V4,best_D_logdet,clinical_logdet,best_minus_clinical
NORM,100,I+V1+V4,I+V1+V4,I+V1+V4,True,True,150.24539287332442,140.03662754981332,10.208765323511102
MI,100,I+V1+V4,I+V1+V4,I+V1+V5,False,True,150.3249423150036,139.99458389965204,10.330358415351554
STTC,100,I+V1+V4,V1+V2+V4,V1+V3+V5,False,True,138.3652586302735,128.04891493558745,10.316343694686054
CD,100,I+V1+V4,I+V1+V4,V1+V2+V4,False,True,184.96537928881642,175.33134661620812,9.6340326726083
