k,criterion,best_set,score,agree_across_DAE
2,D,V1+V5,165.19625336054526,False
2,A,V4+V5,637.2935121602261,False
2,E,V4+V5,0.0032155868067611595,False
3,D,I+V1+V5,191.93155820420856,False
3,A,I+V1+V4,226.42423828121196,False
3,E,V1+V2+V4,0.010132465133775413,False
4,D,I+V1+V4+V5,203.92819678406937,False
4,A,I+V1+V4+V5,169.8652839922422,False
4,E,V1+V2+V4+V5,0.01301473468221321,False
