set,leads,D_logdet,A_trace_inv,E_lambda_min
optimal-3 (D),I+V1+V5,191.93155820420856,244.42339645267268,0.0067989339695009275
clinical II+V1+V5,II+V1+V5,183.89278334251074,271.7068969531847,0.006812408972210681
