set,leads,CRB_mean_allparams,CRB_alpha_ST
optimal-3 (D),I+V1+V5,0.9287198578294944,6.066237731367736
clinical II+V1+V5,II+V1+V5,0.9950454105498121,6.478602552269486
all-8 independent,I+II+V1+V2+V3+V4+V5+V6,0.6094825228865638,3.9082951215253607
