split,class,median_nrmse,median_corr,n
val,NORM,0.36814117431640625,0.9252771296863458,914
val,MI,0.4398763179779053,0.8934295923367993,233
val,STTC,0.3997991681098938,0.917341073213366,255
val,CD,0.404316782951355,0.9069579708420522,171
test,NORM,0.3698999881744385,0.9256428310834321,912
test,MI,0.40961819887161255,0.9049138108553085,256
test,STTC,0.3810088038444519,0.9174837405100694,242
test,CD,0.426268994808197,0.8958919821511676,184
