lead,median_corr,median_nrmse
I,0.94789079538462,0.38783344626426697
II,0.9235238359305747,0.45897579193115234
III,0.9107456530881239,0.43937960267066956
aVR,0.9425677909118784,0.40005970001220703
aVL,0.9370225251245534,0.40206825733184814
aVF,0.9021980979293125,0.49170780181884766
V1,0.9532049946683587,0.3635016679763794
V2,0.9377457641032436,0.4049682021141052
V3,0.9272545857033162,0.4312307834625244
V4,0.938795538287349,0.4223787784576416
V5,0.9531666286197582,0.3692311644554138
V6,0.9585599663768212,0.3584235906600952
