class,n,D_opt,A_opt,E_opt,DAE_agree,D_eq_I+V1+V4,best_D_logdet,clinical_logdet,best_minus_clinical
NORM,100,I+V1+V5,I+V1+V5,V1+V2+V5,False,False,168.01842560177664,159.52802173179649,8.490403869980156
MI,100,I+V1+V5,I+V1+V5,V1+V2+V4,False,False,164.8397603988169,156.5093212661788,8.330439132638105
STTC,100,I+V1+V5,I+V1+V5,V1+V2+V5,False,False,157.48273255076924,148.83877111584926,8.643961434919987
CD,100,I+V1+V5,I+V1+V5,V1+V2+V4,False,False,197.2857991854528,188.3618713666737,8.923927818779077
