,qrs_recon_vs_real_corr,QRS_dur_recon_vs_prox_corr,leaf_delay_spread_vs_prox_corr,total_activation_time_vs_prox_corr,prox_delay_vs_prox_corr
42,0.5914805734490322,0.33993974240694236,0.6083881660756852,0.9187159235602199,1.0
1,0.6475559577261686,-0.010601465738271972,-0.12174205836924448,0.5725254669155632,1.0
2,0.6444817124385072,-0.09250794871403059,-0.08598096531653923,0.35490706361492746,1.0
3,0.6442791220823092,0.196179037099305,0.5052905849148642,-0.12622062595775194,0.9999999999999999
4,0.6226057000575868,-0.24305117442833576,-0.5334918827429045,0.8141345165409122,1.0
