a,b,corr
Tend_disp,Sync_rep,-0.9468240639152613
S_ST_internal_L2,ST_projected_L2,0.9095265112651336
D_rep_old_APDdisp,Tend_disp,0.7402319320254568
D_rep_old_APDdisp,Sync_rep,-0.6554756307868361
Tend_disp,ST_projected_L2,0.5811012925109832
tau_rep_disp,ST_projected_L2,0.5646115982938404
tau_rep_disp,Tend_disp,0.5489652008470588
ST_projected_L2,Sync_rep,-0.5378084428246016
Tend_disp,S_ST_internal_L2,0.5143676769958039
tau_rep_disp,Sync_rep,-0.47863577433952936
S_ST_internal_L2,Sync_rep,-0.46916290925289966
tau_rep_disp,S_ST_internal_L2,0.45780231140929956
tau_rep_disp,T_sign_discordance_rate,-0.39430237587040623
ST_projected_L2,T_sign_discordance_rate,-0.39315229556312403
S_ST_internal_L2,T_sign_discordance_rate,-0.3752854483234509
S_ST_internal_L2,Tpeak_maxabs,0.3267292900043825
tau_rep_disp,Tpeak_maxabs,0.3003619793276483
D_rep_old_APDdisp,ST_projected_L2,0.29956800675790063
ST_projected_L2,Tpeak_maxabs,0.2926496615829917
Tend_disp,T_sign_discordance_rate,-0.289189856314322
Sync_rep,Tpeak_maxabs,0.266418219385805
Sync_rep,T_sign_discordance_rate,0.24812397489342444
D_rep_old_APDdisp,S_ST_internal_L2,0.24529920860296664
T_sign_discordance_rate,Tpeak_maxabs,-0.23813543572467874
D_rep_old_APDdisp,tau_rep_disp,0.22341875382946788
D_rep_old_APDdisp,T_sign_discordance_rate,-0.17091000517183924
D_rep_old_APDdisp,Tpeak_maxabs,-0.1531626732545086
Tend_disp,Tpeak_maxabs,-0.11729568080387082
