a,b,abs_corr,corr
edge_leaf0,edge_leaf4,0.9613699298279854,0.9613699298279854
edge_leaf0,edge_leaf3,0.9201468658222922,0.9201468658222922
edge_leaf2,edge_leaf4,0.9194102369799766,0.9194102369799766
edge_leaf3,edge_leaf4,0.8942212577184866,0.8942212577184866
alpha_ST1,alpha_ST5,0.888399366523633,0.888399366523633
edge_leaf1,edge_leaf4,0.8809996786984143,0.8809996786984143
edge_leaf0,edge_leaf2,0.873185494778438,0.873185494778438
edge_leaf1,edge_leaf2,0.8213772854642655,0.8213772854642655
alpha_ST3,alpha_ST5,0.8173469466301758,0.8173469466301758
edge_leaf2,edge_leaf3,0.8073808410933346,0.8073808410933346
q3,q7,0.7870853306191272,0.7870853306191272
edge_leaf0,edge_leaf1,0.781879634273064,0.781879634273064
q3,q6,0.741705125915977,0.741705125915977
edge_prox0,edge_prox1,0.737921372921758,-0.737921372921758
q5,q7,0.7292504572230422,0.7292504572230422
edge_leaf1,edge_leaf3,0.7088889252662545,0.7088889252662545
alpha_ST1,alpha_ST3,0.7056479502165768,0.7056479502165768
alpha_ST0,alpha_ST4,0.6924180374573644,0.6924180374573644
delta_root,edge_prox0,0.6663855423181394,-0.6663855423181394
tau_dep0,q0,0.6445574390998611,0.6445574390998611
