feature,kw_p,NORM_mean,NORM_std,MI_mean,MI_std,STTC_mean,STTC_std,CD_mean,CD_std,fdr_q
S_ST_internal_L2,8.166626052709069e-64,0.5126423835754395,0.04950844123959541,0.47890183329582214,0.047360144555568695,0.45677319169044495,0.04583968222141266,0.46626016497612,0.06527219712734222,2.7766528579210833e-63
ST_L2,8.166624269507749e-64,0.5126423835754395,0.04950844496488571,0.47890183329582214,0.047360144555568695,0.4567732512950897,0.04583968222141266,0.46626016497612,0.06527218967676163,2.7766528579210833e-63
ST_L1,1.1306723672501407e-58,1.1891921758651733,0.1548352688550949,1.0861846208572388,0.14438483119010925,1.025249719619751,0.13922734558582306,1.0596318244934082,0.18733802437782288,2.9542028382716762e-58
ST_max_abs,3.046332932803254e-43,0.24583077430725098,0.0026882817037403584,0.2435094118118286,0.005054352339357138,0.24305608868598938,0.003123885253444314,0.2409674972295761,0.013421013951301575,4.315638321471277e-43
ST_signed_sum,2.7493268171883077e-24,0.12415206432342529,0.08430731296539307,0.06267786026000977,0.11269797384738922,0.06381039321422577,0.08870599418878555,0.09762892872095108,0.11286531388759613,3.115903726146749e-24
ST_spatial_disp,6.6393762256793215e-37,0.48557794094085693,0.012504341080784798,0.4797009229660034,0.01528913900256157,0.47726571559906006,0.012928564101457596,0.4680379033088684,0.03652648627758026,8.682261218196035e-37
ST_entropy,2.0896483507732692e-23,1.7081459760665894,0.0684489980340004,1.6774728298187256,0.07522992789745331,1.6662373542785645,0.06873074918985367,1.6775233745574951,0.08013470470905304,2.2202513726965984e-23
ST_anterior_strength,3.978034142903469e-49,0.3155525028705597,0.03268137574195862,0.2929341495037079,0.03480980917811394,0.28501203656196594,0.032496873289346695,0.2855137586593628,0.0433538593351841,6.7626580429358974e-49
ST_lateral_strength,1.6792611673828333e-55,0.23250189423561096,0.028268855065107346,0.22310540080070496,0.03478401526808739,0.2085321843624115,0.040278758853673935,0.18810583651065826,0.06854633241891861,3.568429980688521e-55
ST_inferior_strength,0.08571787062358249,0.08764509856700897,0.05724765360355377,0.08735743165016174,0.05684869736433029,0.08931908011436462,0.050203148275613785,0.10564503818750381,0.07366690039634705,0.08571787062358249
ST_right_septal_strength,1.216436462817749e-58,0.31193113327026367,0.03867315873503685,0.28448814153671265,0.04225236549973488,0.267415851354599,0.0365733839571476,0.28218674659729004,0.04429328069090843,2.9542028382716762e-58
ST_projected_L2,4.1739607492196064e-75,0.869828455310926,0.10474703722981091,0.7778935887563245,0.12684567075593436,0.7286787144402669,0.12190588723515075,0.7311811433239481,0.16278493166985275,3.5478666368366655e-74
ST_projected_max_abs,4.110839403956892e-76,0.4144251475491144,0.056927958174633135,0.36339314556764934,0.06318978893462654,0.34019468701060307,0.06265486852204222,0.3432189400217517,0.07889962261915724,6.988426986726716e-75
ST_projected_anterior_leads,2.325770146787881e-70,0.2434302470582891,0.05182573659825544,0.20193476313894343,0.05344404226770115,0.18137330943530414,0.04926127768317827,0.186101314365245,0.0661072398767913,1.3179364165131327e-69
ST_projected_lateral_leads,1.5106657042732805e-45,0.2784866317157572,0.023525412834853408,0.2611498735951862,0.03643481546354967,0.2518031868154989,0.03238919970235907,0.24260939594593336,0.05662126653598371,2.334665179331433e-45
ST_projected_inferior_leads,2.880487446925762e-28,0.10701974158962985,0.009566252958242418,0.10350391944453533,0.014519630828758923,0.09815843686149044,0.01212690295782339,0.1089053052670081,0.023999974951633866,3.4977347569812824e-28
ST_projected_sign_discordance,3.8041062808289814e-53,0.20979532163742687,0.05320211395593205,0.24869791666666666,0.06377550466801281,0.26239669421487605,0.06075847976429541,0.27490942028985504,0.08345999943362711,7.185534086010299e-53
