feature_group,n_features,classifier,macro_auroc,macro_auprc,macro_f1,balanced_accuracy,multiclass_brier,toplabel_ece,auroc_ci_lo,auroc_ci_hi,bootstrap_unit,n_boot
C0_theta,47,logreg,0.8894555571092395,0.7380357367229886,0.6698028405797154,0.6906833409768582,0.39002052583662894,0.038611215672158444,0.8746518753094512,0.9033479874335955,patient,1000
C0_theta,47,xgboost,0.9051180162009422,0.7753749403721675,0.6911881650530268,0.6499637794433308,0.3239012834791718,0.030621150169647785,0.8911574672315181,0.9194051822428257,patient,1000
C1_theta_old,52,logreg,0.892545248125248,0.7454980287090575,0.6733742080636179,0.6950847148315115,0.38629185788716053,0.043880308337066506,0.878208536454926,0.9062821459585332,patient,1000
C1_theta_old,52,xgboost,0.9049176337656184,0.7760041141233598,0.6969550242352878,0.6543132874012646,0.32312546022823563,0.038442054686312996,0.890581990939435,0.9191269127135592,patient,1000
C2_theta_rep,63,logreg,0.893905304257725,0.7493408237592891,0.6734353560737404,0.6961676809112027,0.3843109508078625,0.03568188295869187,0.879841237442438,0.9078659002240336,patient,1000
C2_theta_rep,63,xgboost,0.9004027341731486,0.7684203151067062,0.6903100833414699,0.6515877022086636,0.32888412579479454,0.03728168570860716,0.8851087236946718,0.9154183658562888,patient,1000
C3_theta_st,53,logreg,0.8899214919854139,0.7411478697474114,0.669206662983245,0.6910070211095246,0.38933055709641656,0.0416199341121784,0.8751697067632678,0.9038262482966934,patient,1000
C3_theta_st,53,xgboost,0.9046380517139774,0.7756827568094582,0.694021779210787,0.6532224783361229,0.3246627201179594,0.0331776110523169,0.8903662419350089,0.9189052428697383,patient,1000
C4_theta_stab,49,logreg,0.8900696976007658,0.7389709633707533,0.6663917460446185,0.687851352204566,0.38865382050465036,0.04672295635582142,0.8751758211274067,0.9041927522566242,patient,1000
C4_theta_stab,49,xgboost,0.9042173917006112,0.7770698377763605,0.6885913733994217,0.6471879351194754,0.3230923164351022,0.030532085630047136,0.8896440332544405,0.9182368049263041,patient,1000
C5_theta_rep_st_stab,71,logreg,0.8945372336206855,0.7507503945015298,0.6758554022756762,0.6989309050465389,0.3832921402260067,0.027782171731906596,0.8802406457800592,0.9083380321747074,patient,1000
C5_theta_rep_st_stab,71,xgboost,0.902341113552184,0.7724664725089414,0.6927706906782376,0.6541286694337015,0.3274196076577253,0.034420960576950085,0.8869682358027737,0.916904255732902,patient,1000
C6_compact_heuristic,31,logreg,0.8830824298962553,0.7239329228414786,0.6537113495383766,0.6784912292521639,0.40823467563075105,0.03530766475229112,0.8682792287498885,0.8974802975806234,patient,1000
C6_compact_heuristic,31,xgboost,0.8968900296619572,0.7634647157469663,0.6832159742017536,0.6399519007062775,0.33602194753046133,0.028715668407407878,0.8819072768511876,0.9111884393091269,patient,1000
