class,rho,m_stab,log_stab
NORM,0.9804050922393799,0.019594907760620117,0.03298238713177814
NORM,0.9806180596351624,0.019381940364837646,0.03262038665225135
NORM,0.9804763197898865,0.019523680210113525,0.03286130629192671
NORM,0.9806214570999146,0.01937854290008545,0.03261461230271416
NORM,0.9807106852531433,0.01928931474685669,0.032462966810903535
NORM,0.9806268811225891,0.01937311887741089,0.03260539364579493
NORM,0.9805542230606079,0.01944577693939209,0.032728887360518454
NORM,0.9805181622505188,0.0194818377494812,0.0327901817324592
NORM,0.9807130694389343,0.019286930561065674,0.032458915016413466
NORM,0.9806809425354004,0.01931905746459961,0.0325135137750989
NORM,0.9805195331573486,0.019480466842651367,0.032787851491975384
NORM,0.9803019165992737,0.01969808340072632,0.033157792635389996
NORM,0.9807308912277222,0.019269108772277832,0.03242862816460507
NORM,0.98074871301651,0.01925128698348999,0.0323983418631627
NORM,0.9805603623390198,0.019439637660980225,0.03271845234488783
NORM,0.980645477771759,0.019354522228240967,0.032573787209175385
NORM,0.9809173941612244,0.019082605838775635,0.032111712818017654
NORM,0.9807271361351013,0.01927286386489868,0.03243500962942127
NORM,0.9806241393089294,0.019375860691070557,0.032610053619842636
NORM,0.9806312918663025,0.01936870813369751,0.032597897193144224
MI,0.9805976748466492,0.01940232515335083,0.032655033169604046
MI,0.9806686639785767,0.01933133602142334,0.03253438130558334
MI,0.9790953993797302,0.020904600620269775,0.035210324062545796
MI,0.98078852891922,0.01921147108078003,0.03233068081001246
MI,0.9805341362953186,0.019465863704681396,0.032763029567274365
MI,0.9800114035606384,0.019988596439361572,0.03365178346409751
MI,0.9807177186012268,0.019282281398773193,0.032451014045489425
MI,0.9807114601135254,0.01928853988647461,0.03246164997661382
MI,0.9807018637657166,0.019298136234283447,0.03247795853616507
MI,0.9806675910949707,0.019332408905029297,0.032536204694445715
MI,0.9797137379646301,0.020286262035369873,0.034158088475425084
MI,0.9806109070777893,0.019389092922210693,0.032632543242986346
MI,0.9806252121925354,0.0193747878074646,0.03260823015018533
MI,0.9802723526954651,0.019727647304534912,0.03320805665623274
MI,0.9804188013076782,0.019581198692321777,0.03295908218612121
MI,0.9808818697929382,0.019118130207061768,0.032172073000132986
MI,0.9805662035942078,0.019433796405792236,0.03270852394406707
MI,0.9806226491928101,0.01937735080718994,0.03261258621989854
MI,0.9806843400001526,0.019315659999847412,0.032507739795822
MI,0.980565071105957,0.01943492889404297,0.03271044883348198
STTC,0.9803550243377686,0.019644975662231445,0.03306750361483292
STTC,0.9804480075836182,0.019551992416381836,0.032909433605911885
STTC,0.9787551760673523,0.021244823932647705,0.03578957037092373
STTC,0.980577290058136,0.019422709941864014,0.03268968040720041
STTC,0.9806731343269348,0.019326865673065186,0.03252678387346235
STTC,0.9800028204917908,0.01999717950820923,0.03366638041401352
STTC,0.9802685379981995,0.019731462001800537,0.033214542446760996
STTC,0.9794690608978271,0.02053093910217285,0.03457437950582703
STTC,0.9783025979995728,0.021697402000427246,0.036560418122383274
STTC,0.9802455306053162,0.019754469394683838,0.033253660406057726
STTC,0.9806054830551147,0.019394516944885254,0.032641762050076906
STTC,0.9803400635719299,0.01965993642807007,0.033092938074132425
STTC,0.980414867401123,0.019585132598876953,0.032965769658927536
STTC,0.9806161522865295,0.01938384771347046,0.03262362840111078
STTC,0.9808194041252136,0.019180595874786377,0.03227821499791921
STTC,0.9802835583686829,0.01971644163131714,0.0331890047925186
STTC,0.9806097149848938,0.0193902850151062,0.03263456935006286
STTC,0.9802067279815674,0.019793272018432617,0.03331963603922145
STTC,0.9804783463478088,0.019521653652191162,0.03285786144274977
STTC,0.9799916744232178,0.020008325576782227,0.03368533636616995
CD,0.9807604551315308,0.01923954486846924,0.03237838764423849
CD,0.9806678891181946,0.01933211088180542,0.0325356981973394
CD,0.9806885123252869,0.019311487674713135,0.03250064897144511
CD,0.9800596237182617,0.01994037628173828,0.03356977936507469
CD,0.9787114262580872,0.021288573741912842,0.03586407110429639
CD,0.9753303527832031,0.024669647216796875,0.041631734965471845
CD,0.9783405661582947,0.021659433841705322,0.036495735644107234
CD,0.9805917739868164,0.019408226013183594,0.03266506255904808
CD,0.9806492924690247,0.019350707530975342,0.03256730391164558
CD,0.9774434566497803,0.022556543350219727,0.038024721053628995
CD,0.9803895950317383,0.01961040496826172,0.0330087322453635
CD,0.980704665184021,0.019295334815979004,0.03247319763582775
CD,0.9803702235221863,0.01962977647781372,0.033041664222973346
CD,0.9804269075393677,0.019573092460632324,0.03294530202374083
CD,0.9793368577957153,0.020663142204284668,0.034799351772376266
CD,0.9801484942436218,0.019851505756378174,0.0334186550626499
CD,0.9808408617973328,0.019159138202667236,0.03224175324411662
CD,0.9808656573295593,0.019134342670440674,0.03219962065537166
CD,0.9781718850135803,0.021828114986419678,0.03678311969978384
CD,0.9808482527732849,0.019151747226715088,0.03222919438027873
