lead_set,n_leads,n_samples,effective_rank,rank95,rank99,condition_number,logdet
L12,12,400,4.555020809173584,8,17,1000000.0,255.59999084472656
L3a_II_V1_V5,3,400,3.3969368934631348,7,16,999999.9375,189.40670776367188
L3b_I_II_V5,3,400,2.999490261077881,6,14,1000000.0,169.7162322998047
L1_II,1,400,2.4817397594451904,3,8,1000000.0,18.365142822265625
