param,identifiability_score
tau_dep7,41.244165973937214
tau_dep5,32.674250437951486
tau_dep3,29.522082112880994
APD5,27.30641107301946
edge_leaf3,24.740340222977895
tau_dep6,24.585614915382298
APD2,24.15328837305269
edge_leaf0,23.511773329877315
edge_leaf4,23.08493913669826
q7,22.769534627517903
q4,22.42973693057392
edge_leaf2,22.2303891851546
tau_dep4,21.411984038517634
APD7,21.37630666899812
q5,21.28916442103869
edge_leaf1,21.19720609315969
q3,20.78379586981229
APD3,19.969147381647982
q1,18.479881366926985
APD6,16.903447375019052
q2,16.50044025322844
global_gain,16.018728901329258
q0,15.585561465443833
tau_dep2,14.024470201333527
q6,13.743419195562453
tau_rep5,12.34852293118948
tau_rep2,10.947389223255403
delta_root,10.780652651985696
tau_rep7,10.58362181759239
edge_prox0,9.47544391940535
tau_rep3,9.324238098001018
tau_rep6,8.498099900947302
APD4,7.565094938940335
tau_rep1,5.392640283825963
edge_prox1,4.131166821864071
APD1,3.797684095725439
tau_rep0,3.5273132612147253
tau_rep4,3.4992161141154607
APD0,2.812887203609879
tau_dep1,2.6081619718574807
tau_dep0,2.439693002507015
alpha_ST2,0.6557192357824831
alpha_ST1,0.3108764156183313
alpha_ST5,0.2983007933758004
alpha_ST0,0.28354898903839004
alpha_ST3,0.22955270011519377
alpha_ST4,0.22898700639376945
