param,identifiability_score
tau_dep7,41.244165973937214
tau_dep5,32.674250437951486
tau_dep3,29.522082112880994
APD5,27.30641107301946
edge_leaf3,24.740340222977895
tau_dep6,24.585614915382298
APD2,24.15328837305269
edge_leaf0,23.511773329877315
edge_leaf4,23.08493913669826
q7,22.769534627517903
