variant,mode,fim_effrank_L1,theta_macro_auroc,observed_corr,full12_nrmse,D_act_CD,STTC_Tsign,MI_STproj
L1-baseline-full,full,2.0762674808502197,0.8408079890526654,0.9018026845304427,0.5877023935317993,0.5485554919908466,0.4621755835870669,-0.4042369106359649
L1-small-full,full,1.8305422067642212,0.84324455040538,0.9121005740182475,0.5865011215209961,0.6186832570556826,0.5575793823401478,-0.04636958607456143
L1-regularized-full,full,1.9377527236938477,0.8425547196566423,0.8928834238824329,0.5994746685028076,-0.0010607360793287723,0.5578512396694215,-0.35298451206140347
L1-no-teacher-obs,obs,2.7858517169952393,0.848084278043617,0.9575282474038114,2.6588616371154785,0.5719393592677346,0.5337782731622445,-0.24948601973684215
