feature_group,class,auroc,auprc,f1,sensitivity,specificity,support
C0_theta,NORM,0.8968815918094357,0.9077126611969711,0.8555831265508684,0.9451754385964912,0.6466275659824047,912
C0_theta,MI,0.885092605568012,0.6921495269029374,0.5963302752293578,0.5078125,0.9626307922272048,256
C0_theta,STTC,0.9363507995501003,0.7669776980029842,0.6864988558352403,0.6198347107438017,0.966715976331361,242
C0_theta,CD,0.8828283996299722,0.7509862614779754,0.7,0.5706521739130435,0.9921985815602837,184
C1_theta_old,NORM,0.8981581519781858,0.9096670052630298,0.8552958727001492,0.9429824561403509,0.6495601173020528,912
C1_theta_old,MI,0.8863830110239163,0.6928164074065958,0.5958429561200924,0.50390625,0.9641255605381166,256
C1_theta_old,STTC,0.9367420167245342,0.7694337037582178,0.6772009029345373,0.6198347107438017,0.9622781065088757,242
C1_theta_old,CD,0.8865325316065372,0.751080241836694,0.6910299003322259,0.5652173913043478,0.9907801418439717,184
C2_theta_rep,NORM,0.8958156479909452,0.9064718600500006,0.8577114427860697,0.9451754385964912,0.6539589442815249,912
C2_theta_rep,MI,0.8864676756352766,0.6993504814196032,0.6018518518518519,0.5078125,0.9656203288490284,256
C2_theta_rep,STTC,0.9334075015893197,0.762470144153839,0.6891891891891891,0.6322314049586777,0.9637573964497042,242
C2_theta_rep,CD,0.8808433549182855,0.7491502089874554,0.7152317880794702,0.5869565217391305,0.9929078014184397,184
C3_theta_st,NORM,0.8969121392190154,0.9078831179645512,0.851465474416294,0.9396929824561403,0.6422287390029325,912
C3_theta_st,MI,0.8805411528400598,0.6820728473703449,0.5958429561200924,0.50390625,0.9641255605381166,256
C3_theta_st,STTC,0.9365464081373173,0.7702327883569285,0.6787330316742082,0.6198347107438017,0.9630177514792899,242
C3_theta_st,CD,0.8843778908418131,0.7506261369375009,0.7,0.5706521739130435,0.9921985815602837,184
C4_theta_stab,NORM,0.8966098806400165,0.9078604828701134,0.8558648111332008,0.944078947368421,0.6495601173020528,912
C4_theta_stab,MI,0.8844094497384154,0.689893289019063,0.5953488372093023,0.5,0.9656203288490284,256
C4_theta_stab,STTC,0.9364088708494304,0.7672091178288051,0.6832579185520362,0.6239669421487604,0.9637573964497042,242
C4_theta_stab,CD,0.8862665741597286,0.750891198734452,0.7039473684210527,0.5815217391304348,0.9907801418439717,184
C5_theta_rep_st_stab,NORM,0.8962175875906777,0.9082460488249324,0.8598409542743539,0.9484649122807017,0.655425219941349,912
C5_theta_rep_st_stab,MI,0.8826752849402093,0.6958970405126861,0.6093023255813953,0.51171875,0.9678624813153961,256
C5_theta_rep_st_stab,STTC,0.9345200254291163,0.7582775581065688,0.6966292134831461,0.640495867768595,0.9644970414201184,242
C5_theta_rep_st_stab,CD,0.8846322849213689,0.7511010501055781,0.7043189368770764,0.5760869565217391,0.9921985815602837,184
C6_compact_heuristic,NORM,0.8873041750270103,0.9037044973911781,0.8411027568922306,0.9199561403508771,0.6422287390029325,912
C6_compact_heuristic,MI,0.8807834687967115,0.6669272551267255,0.5661252900232019,0.4765625,0.9603886397608371,256
C6_compact_heuristic,STTC,0.9204667709912465,0.6975720518443497,0.6578366445916115,0.6157024793388429,0.9541420118343196,242
C6_compact_heuristic,CD,0.8796561825470243,0.7456836545998299,0.6990291262135923,0.5869565217391305,0.9879432624113476,184
