a,b,abs_corr,corr
delta_root,edge_prox0,0.9963093882927675,-0.9963093882927675
alpha_ST3,alpha_ST4,0.9376680953665437,0.9376680953665437
edge_leaf0,edge_leaf1,0.8610552694716164,0.8610552694716164
alpha_ST1,alpha_ST2,0.8598277787390604,0.8598277787390604
tau_dep3,tau_dep4,0.849486334706205,0.849486334706205
q3,q4,0.7700253413443657,0.7700253413443657
q5,q6,0.6966941213498226,0.6966941213498226
delta_root,APD0,0.683184977090757,-0.683184977090757
edge_prox0,APD0,0.6815656799569223,0.6815656799569223
edge_leaf0,edge_leaf4,0.6272139678029218,0.6272139678029218
tau_dep4,tau_dep7,0.6258809883577757,0.6258809883577757
tau_dep3,tau_dep7,0.621392200622545,0.621392200622545
alpha_ST1,alpha_ST5,0.6211851297023405,0.6211851297023405
edge_leaf1,edge_leaf4,0.5949315064472149,0.5949315064472149
edge_leaf1,edge_leaf2,0.5874383813776989,0.5874383813776989
tau_dep5,tau_dep6,0.5674559654241109,0.5674559654241109
alpha_ST0,alpha_ST5,0.5609468421555608,0.5609468421555608
edge_leaf2,edge_leaf3,0.5589231956974998,0.5589231956974998
APD3,alpha_ST1,0.5570042703300087,-0.5570042703300087
alpha_ST2,alpha_ST5,0.5470770776454965,0.5470770776454965
