feature_group,n_features,classifier,macro_auroc,macro_auprc,macro_f1,balanced_accuracy,multiclass_brier,toplabel_ece,auroc_ci_lo,auroc_ci_hi,bootstrap_unit,n_boot
C0_theta,47,logreg,0.8901794301579901,0.7496519556835803,0.6711934357313153,0.6959321020067798,0.3869606604284216,0.03287533330119952,0.8749876618788485,0.9055370643788018,patient,1000
C0_theta,47,xgboost,0.90028834913938,0.779456536895217,0.7096030644038667,0.6608687058133341,0.32202350224824816,0.0313483720068052,0.8855962338758672,0.914273744750214,patient,1000
C1_theta_old,52,logreg,0.8903542938188236,0.7485801610269972,0.6735838504580993,0.698808667747398,0.38715566385246675,0.03678896590110341,0.8747649557944833,0.905379146670905,patient,1000
C1_theta_old,52,xgboost,0.9019539278332933,0.7807493395661342,0.7048424080217512,0.6579852020471251,0.3215182131027418,0.027708772696096593,0.8871282240269638,0.9156803338711778,patient,1000
C2_theta_rep,63,logreg,0.8906082466189125,0.7480432487947724,0.6671571731643897,0.6868847504192119,0.3845310312054306,0.03103525080417566,0.8757791103543925,0.9060591482873428,patient,1000
C2_theta_rep,63,xgboost,0.8991335450334568,0.7793606736527245,0.7159960679766453,0.6680439663235748,0.3207358512967764,0.034668724876425326,0.8839267588333559,0.9130752556728604,patient,1000
C3_theta_st,53,logreg,0.8891452096090257,0.7493143765461179,0.6738260627568993,0.6998882602352314,0.3884738974324527,0.03377455630926416,0.8733892065476598,0.9046560967930184,patient,1000
C3_theta_st,53,xgboost,0.8995943977595513,0.7777037226573315,0.7065103655526488,0.6585215292782464,0.3236082826999791,0.03499865548748291,0.8842890574426636,0.9130814341739113,patient,1000
C4_theta_stab,49,logreg,0.8903797209834229,0.7506222455057114,0.6682541852350607,0.6925076415549294,0.38711001697581415,0.03604998251192245,0.8748443354243093,0.9056744229789543,patient,1000
C4_theta_stab,49,xgboost,0.9009236938468977,0.7789635221131084,0.709604733828898,0.662391907161904,0.3217922284549204,0.035036924062588876,0.8859473094842379,0.914892472492391,patient,1000
C5_theta_rep_st_stab,71,logreg,0.8896549629692193,0.7471642758518418,0.6630345016394987,0.6860385452323317,0.386404582689382,0.029997952073704506,0.8742960375537249,0.9048299968110215,patient,1000
C5_theta_rep_st_stab,71,xgboost,0.899511295720343,0.7783804243874414,0.7175228575539929,0.6691916216427589,0.3211798547852957,0.03607449662805053,0.8843536348859844,0.913894927194711,patient,1000
C6_compact_heuristic,31,logreg,0.8796210686413172,0.7234304136500962,0.649444243790246,0.6800673184249137,0.41771573959024766,0.055642413443400214,0.8628004923400174,0.8949130184765436,patient,1000
C6_compact_heuristic,31,xgboost,0.8920526493404982,0.7534718647405209,0.6910234544301591,0.6497944103572126,0.3428083883615238,0.0341063814151242,0.8764333645418423,0.9060608413132408,patient,1000
