a,b,corr
Tend_disp,Sync_rep,-0.9688985805190723
D_rep_old_APDdisp,Tend_disp,0.9415383652608672
D_rep_old_APDdisp,Sync_rep,-0.9407828579441815
tau_rep_disp,Tpeak_maxabs,0.5809061074822911
S_ST_internal_L2,Tpeak_maxabs,0.5252588849459172
tau_rep_disp,S_ST_internal_L2,0.5187835571295213
Tend_disp,S_ST_internal_L2,0.43257610272859265
D_rep_old_APDdisp,S_ST_internal_L2,0.4062182938007077
S_ST_internal_L2,Sync_rep,-0.38218845674135965
tau_rep_disp,Tend_disp,0.3714489466595046
S_ST_internal_L2,ST_projected_L2,0.36357223179155007
tau_rep_disp,Sync_rep,-0.338941799068447
Tend_disp,Tpeak_maxabs,0.32940451312467783
Sync_rep,Tpeak_maxabs,-0.28516510652295335
tau_rep_disp,T_sign_discordance_rate,-0.24850226735070913
D_rep_old_APDdisp,Tpeak_maxabs,0.229646560195849
ST_projected_L2,Sync_rep,0.22787740403521597
Tend_disp,ST_projected_L2,-0.2234935824815687
Tend_disp,T_sign_discordance_rate,-0.20625617266695162
S_ST_internal_L2,T_sign_discordance_rate,-0.20601052728128885
D_rep_old_APDdisp,tau_rep_disp,0.19975195464724715
T_sign_discordance_rate,Tpeak_maxabs,-0.17929796311336987
D_rep_old_APDdisp,ST_projected_L2,-0.17559103115795707
Sync_rep,T_sign_discordance_rate,0.16427775093351898
tau_rep_disp,ST_projected_L2,0.16090692381247473
D_rep_old_APDdisp,T_sign_discordance_rate,-0.16056900177402925
ST_projected_L2,Tpeak_maxabs,0.10480477686989274
ST_projected_L2,T_sign_discordance_rate,-0.05079069516235543
