param,identifiability_score
edge_leaf4,46.16438971952563
tau_dep2,44.93322176669673
edge_leaf1,44.26220306609458
edge_leaf2,43.5787871036298
edge_leaf3,42.875142925450945
edge_leaf0,41.341976127372476
APD7,35.81413895715328
q6,28.914493891591924
tau_dep5,27.5135389851115
tau_dep4,26.071311063462886
tau_dep3,24.181738390680792
tau_dep6,23.58606483083419
tau_dep7,22.660000891658303
APD4,21.667888574969552
APD3,19.68514095568474
q5,18.845055235644733
edge_prox1,18.122078702653354
tau_rep7,16.604748995011647
APD5,16.428527134212878
q3,16.01296488517227
global_gain,15.881076056990443
q7,15.077519740548844
q1,14.495591168667653
tau_dep1,12.160207602462238
APD6,11.563678322376601
q4,10.319603267347743
tau_rep4,10.219883211685254
q2,10.130102624798441
tau_rep3,10.09192360475188
q0,9.592128885797399
APD2,9.571542199583863
tau_rep5,7.591504489366033
tau_rep6,5.547991713565433
edge_prox0,4.554419847519642
tau_rep2,4.4697562395934405
delta_root,3.4300825384865603
tau_rep1,3.0760321396115566
APD1,2.5290778441807333
tau_rep0,1.868232788938127
APD0,1.2125601970860451
tau_dep0,0.943651770717642
alpha_ST4,0.38279816956812085
alpha_ST0,0.28539362841934884
alpha_ST3,0.27255485248826083
alpha_ST5,0.2422227290473583
alpha_ST1,0.23857115264347092
alpha_ST2,0.15533997872195981
