sigma
1.828810572624206543e+00
1.214179396629333496e+00
5.473026037216186523e-01
3.784294122510800662e-08
2.849753322209380713e-08
1.766267665459508862e-08
1.461937060298623692e-08
5.943397995977761639e-10
