k,exhaustive_best_D,exhaustive_set,greedy_D,near_opt_gap
2,165.1974639892578,V1+V5,160.2744903564453,-4.9229736328125
3,202.31649780273438,aVL+V1+V5,198.85293579101562,-3.46356201171875
4,213.62086486816406,aVL+V1+V4+V5,213.17013549804688,-0.4507293701171875
