k,added_lead,lead_set,D_logdet,A_trace_inv,E_lambda_min,eff_rank
1,V6,V6,95.2545166015625,1996.847900390625,0.001573252258822322,2.1991255283355713
2,V1,V6+V1,160.2744903564453,726.9666748046875,0.002458463190123439,2.886957883834839
3,aVL,V6+V1+aVL,198.85293579101562,238.4207763671875,0.006881892215460539,3.9377591609954834
4,V5,V6+V1+aVL+V5,213.17013549804688,170.6053009033203,0.010321281850337982,3.8669509887695312
5,V4,V6+V1+aVL+V5+V4,222.11932373046875,129.5010986328125,0.014900044538080692,3.989014148712158
6,III,V6+V1+aVL+V5+V4+III,229.71078491210938,112.29204559326172,0.01996740885078907,4.42011022567749
