param_group,unobs_energy_bottom5,n_params
alpha_ST,0.9896718859672546,6
APD,0.004625505302101374,8
tau_dep,0.0034849122166633606,8
tau_rep,0.0016718290280550718,8
q,0.00038533558836206794,8
edge_prox,0.00015459820860996842,2
edge_leaf,1.0745005056378432e-05,5
delta_root,1.748191380102071e-06,1
global_gain,1.4069343023948022e-06,1
