set,leads,D_logdet,A_trace_inv,E_lambda_min
optimal-3 (D),I+V1+V4,184.5482027001121,351.1396765981068,0.0043819355457108185
clinical II+V1+V5,II+V1+V5,173.74515490675753,410.800346944392,0.003459200574510469
