set,leads,CRB_mean_allparams,CRB_alpha_ST
optimal-3 (D),I+V1+V4,1.1129382275945496,7.000676300255517
clinical II+V1+V5,II+V1+V5,1.2095709696007901,7.457900812329929
all-8 independent,I+II+V1+V2+V3+V4+V5+V6,0.7939649442905053,4.922301396782983
