set,leads,D_logdet,A_trace_inv,E_lambda_min,eff_rank
greedy-3,aVL+V1+V5,195.83741760253906,292.31622314453125,0.0067482320591807365,4.681496620178223
clinical II+V1+V5,II+V1+V5,171.53656005859375,451.8094787597656,0.0049637979827821255,3.773195266723633
all-12,12,243.7677001953125,113.86597442626953,0.015720518305897713,5.0224175453186035
