sigma
1.385277390480041504e+00
1.046769738197326660e+00
6.974672675132751465e-01
3.440931095610721968e-08
1.678812822092368151e-08
1.005945726717527577e-08
6.094740268025589103e-09
5.918472933963414562e-10
