param_group,unobs_energy_bottom5,n_params
alpha_ST,0.7924714088439941,6
tau_dep,0.190394788980484,8
APD,0.0084111662581563,8
tau_rep,0.007748774252831936,8
delta_root,0.00043141591595485806,1
q,0.0002955495729111135,8
edge_prox,0.00023957970552146435,2
global_gain,1.2714920558209997e-05,1
edge_leaf,8.469040153613605e-07,5
