k,added_lead,lead_set,D_logdet,A_trace_inv,E_lambda_min,eff_rank
1,aVL,aVL,105.79130554199219,1499.870361328125,0.0017963467398658395,4.08816385269165
2,V1,aVL+V1,165.2406768798828,747.9356079101562,0.0028095205780118704,4.401581287384033
3,V5,aVL+V1+V5,195.83741760253906,292.31622314453125,0.0067482320591807365,4.681496620178223
4,III,aVL+V1+V5+III,208.35997009277344,227.7453155517578,0.007931413128972054,5.181748867034912
5,V2,aVL+V1+V5+III+V2,216.5531005859375,205.1143341064453,0.009236451238393784,5.276825904846191
6,V6,aVL+V1+V5+III+V2+V6,223.7164306640625,175.2369384765625,0.010262004099786282,5.035634994506836
