k,exhaustive_best_D,exhaustive_set,greedy_D,near_opt_gap
2,165.2406768798828,aVL+V1,165.2406768798828,0.0
3,195.83741760253906,aVL+V1+V5,195.83741760253906,0.0
4,208.36224365234375,III+aVL+V1+V5,208.35997009277344,-0.0022735595703125
