set,leads,D_logdet,A_trace_inv,E_lambda_min
optimal-3 (D),I+V1+V5,178.51201459590723,419.86396658251107,0.004489206253570873
clinical II+V1+V5,II+V1+V5,171.53783750585706,451.8222191878207,0.0047481958258645245
