k,criterion,best_set,score,agree_across_DAE
2,D,I+V1,147.47591324731673,False
2,A,I+V4,961.3355290585743,False
2,E,II+V1,0.0028409530814226714,False
3,D,I+V1+V5,178.51201459590723,False
3,A,I+V1+V4,402.581990949128,False
3,E,I+V1+V3,0.00534653457666422,False
4,D,I+V1+V2+V5,191.02807050978217,False
4,A,I+V1+V4+V5,329.630946323154,False
4,E,I+V1+V2+V4,0.007009596399040281,False
