set,leads,CRB_mean_allparams,CRB_alpha_ST
optimal-3 (D),I+V1+V5,1.2407778168680632,8.081220463844273
clinical II+V1+V5,II+V1+V5,1.3034194178122946,8.458276033000889
all-8 independent,I+II+V1+V2+V3+V4+V5+V6,0.8542629790237871,5.535029247256021
