k,added_lead,lead_set,D_logdet,A_trace_inv,E_lambda_min,eff_rank
1,V1,V1,93.38919067382812,2543.191162109375,0.0017737422604113817,3.044313430786133
2,aVL,V1+aVL,159.09454345703125,970.5202026367188,0.002497216686606407,4.825738430023193
3,V5,V1+aVL+V5,195.22689819335938,443.7972106933594,0.0035114597994834185,5.276518821716309
4,V4,V1+aVL+V5+V4,206.75042724609375,369.647705078125,0.0040372684597969055,5.317374229431152
5,V6,V1+aVL+V5+V4+V6,215.11370849609375,311.15374755859375,0.005200596060603857,4.9015655517578125
6,III,V1+aVL+V5+V4+V6+III,222.7653350830078,270.1515197753906,0.005649154540151358,5.441229343414307
