set,leads,D_logdet,A_trace_inv,E_lambda_min,eff_rank
greedy-3,V1+aVL+V5,195.22689819335938,443.7972106933594,0.0035114597994834185,5.276518821716309
clinical II+V1+V5,II+V1+V5,176.8359375,539.4500732421875,0.003250902984291315,4.142061233520508
all-12,12,245.07708740234375,176.95370483398438,0.009251493029296398,5.597764492034912
