param_group,unobs_energy_bottom5,n_params
alpha_ST,0.8062505722045898,6
APD,0.11754725128412247,8
tau_rep,0.06756658852100372,8
tau_dep,0.006809667684137821,8
q,0.0016840901225805283,8
delta_root,9.155915904557332e-05,1
edge_prox,5.300802877172828e-05,2
global_gain,2.2428096144722076e-06,1
edge_leaf,1.8059190551866777e-06,5
