sigma
1.265721917152404785e+00
1.210028052330017090e+00
4.073478877544403076e-01
2.274714461236726493e-08
1.807703675638094865e-08
1.639893199012476543e-08
7.582697136854221753e-09
4.597695557606584771e-09
