k,exhaustive_best_D,exhaustive_set,greedy_D,near_opt_gap
2,159.09356689453125,aVL+V1,159.09454345703125,0.0009765625
3,195.22686767578125,aVL+V1+V5,195.22689819335938,3.0517578125e-05
4,206.75088500976562,aVL+V1+V4+V5,206.75042724609375,-0.000457763671875
