lead_set,CRB_delta_root,CRB_edge_prox,CRB_edge_leaf,CRB_APD,CRB_tau_dep,CRB_tau_rep,CRB_q,CRB_alpha_ST,CRB_global_gain
L12,0.08317258818451988,0.06330155260433722,0.027812049603262768,0.24675375202313218,0.0942374781284562,0.3058508139652009,0.0764854821370675,5.20166488615881,0.0640470903467738
II+V1+V5,0.17719776371951138,0.12104929426418296,0.053309828084922364,0.47206817048896077,0.1887382820014537,0.5765266301228528,0.1565290192318251,9.061079415324427,0.1261091485180495
I+II+V5,0.1423173366826771,0.25834633383512734,0.06122248302996667,0.7173331869386872,0.2354856433328125,0.8189053901355818,0.19043947456982807,10.465515815161433,0.16376281003932366
II,0.5185652441069301,1.396011417479331,4.119088012244449,5.995295060482018,4.0136997287945455,6.834423081778494,4.364179105291598,22.391184784906716,0.3570132736669711
