a,b,abs_corr,corr
delta_root,edge_prox0,0.9500694523305016,-0.9500694523305016
edge_leaf0,edge_leaf4,0.9380227187201148,0.9380227187201148
alpha_ST2,alpha_ST3,0.9260495440717434,0.9260495440717434
alpha_ST1,alpha_ST5,0.9150913950617028,0.9150913950617028
q3,q7,0.8981564690613764,0.8981564690613764
edge_leaf1,edge_leaf4,0.8963658013690627,0.8963658013690627
q4,q5,0.8919356170901191,0.8919356170901191
edge_leaf0,edge_leaf1,0.8896355023150624,0.8896355023150624
edge_leaf1,edge_leaf2,0.8620713032395046,0.8620713032395046
alpha_ST2,alpha_ST5,0.8186755389645493,0.8186755389645493
tau_dep3,tau_dep7,0.8070614716363298,0.8070614716363298
tau_dep4,tau_dep5,0.7852327822729429,0.7852327822729429
alpha_ST1,alpha_ST2,0.7763746952674422,0.7763746952674422
edge_leaf2,edge_leaf4,0.7617124158137687,0.7617124158137687
q4,q7,0.7260734337975969,0.7260734337975969
tau_dep0,q0,0.6991225751760017,0.6991225751760017
edge_leaf0,edge_leaf2,0.6682336915291506,0.6682336915291506
tau_dep4,tau_dep7,0.6560595291475891,0.6560595291475891
alpha_ST3,alpha_ST5,0.6548330631049621,0.6548330631049621
tau_rep4,tau_rep5,0.6528353007080879,0.6528353007080879
