lead_set,n_leads,n_samples,effective_rank,rank95,rank99,condition_number,logdet
L12,12,400,5.6713175773620605,10,17,1000000.0,253.2174530029297
L3a_II_V1_V5,3,400,4.2156453132629395,8,15,1000000.0,186.1211395263672
L3b_I_II_V5,3,400,3.574925422668457,6,13,1000000.0,160.327392578125
L1_II,1,400,2.939751148223877,4,8,1000000.0,23.953861236572266
