feature,kw_p,NORM_mean,NORM_std,MI_mean,MI_std,STTC_mean,STTC_std,CD_mean,CD_std,fdr_q
S_ST_internal_L2,5.452207572038745e-43,0.49702373147010803,0.036272019147872925,0.47694098949432373,0.03751343488693237,0.46433892846107483,0.037079472094774246,0.4747897982597351,0.03922762721776962,1.8537505744931735e-42
ST_L2,5.452207572038745e-43,0.49702373147010803,0.036272019147872925,0.47694095969200134,0.037513431161642075,0.46433892846107483,0.037079472094774246,0.4747897982597351,0.03922762721776962,1.8537505744931735e-42
ST_L1,7.391782439992764e-35,1.1374363899230957,0.11986445635557175,1.0794384479522705,0.12429884821176529,1.0363729000091553,0.1231379583477974,1.068005084991455,0.13265971839427948,1.7951471639982426e-34
ST_max_abs,1.8053705241646374e-22,0.2465810775756836,0.0018946795025840402,0.24561478197574615,0.0025137332268059254,0.2450273483991623,0.002427485305815935,0.2458532601594925,0.0026330817490816116,2.55760824256657e-22
ST_signed_sum,0.00027744329230721586,0.3585606813430786,0.12724265456199646,0.37822866439819336,0.1356888860464096,0.3887776732444763,0.13974598050117493,0.38275662064552307,0.14919103682041168,0.0003144357312815113
ST_spatial_disp,0.0026797915939834366,0.4791877269744873,0.016410544514656067,0.4742918014526367,0.02075527422130108,0.4781937897205353,0.016451003029942513,0.47951170802116394,0.013873259536921978,0.0026797915939834366
ST_entropy,6.193507544593719e-11,1.6904797554016113,0.07389189302921295,1.6746844053268433,0.08033925294876099,1.6526575088500977,0.08673574030399323,1.6649318933486938,0.08838562667369843,7.520687732720944e-11
ST_anterior_strength,1.868708893027594e-31,0.19869492948055267,0.0754866749048233,0.16601964831352234,0.07213855534791946,0.13812191784381866,0.06440219283103943,0.17138557136058807,0.07202218472957611,3.1768051181469098e-31
ST_lateral_strength,3.7427882836970626e-33,0.18652819097042084,0.06751968711614609,0.2135908603668213,0.0501621812582016,0.22848501801490784,0.03330807387828827,0.21984796226024628,0.04623749107122421,7.069711202538897e-33
ST_inferior_strength,8.328175715967392e-62,0.24585947394371033,0.0017347957473248243,0.24400052428245544,0.006202736869454384,0.2431965321302414,0.003312871092930436,0.24212652444839478,0.011926379054784775,1.4157898717144568e-60
ST_right_septal_strength,1.0999266441830129e-52,0.31798166036605835,0.047502003610134125,0.2911941707134247,0.06006157770752907,0.2783012390136719,0.061953965574502945,0.281149685382843,0.06418925523757935,9.349376475555609e-52
ST_projected_L2,1.5729977166956721e-34,0.6024957644510187,0.05381893095117517,0.5714780877138916,0.06444023592069152,0.557190909966797,0.06299799882941419,0.5648809267430446,0.07169236315989533,3.342620147978303e-34
ST_projected_max_abs,4.6445271687293574e-26,0.282752745516738,0.029518933880770492,0.26866115763268006,0.033157206303345454,0.26112655250271305,0.03177674503525463,0.2657604178706859,0.037418895038583914,7.177905624399917e-26
ST_projected_anterior_leads,1.8687153915248702e-18,0.1313059187058391,0.01619121583635883,0.12557010673208602,0.020131584702224432,0.1211282342065404,0.01768518593634557,0.1227404836624851,0.02312914673725869,2.443704742763292e-18
ST_projected_lateral_leads,0.00031195681998655197,0.2060701056994339,0.02799599347765593,0.20221230481092045,0.029159213570946772,0.20062769634592692,0.026548279237530146,0.20132014275318139,0.031755752299777146,0.0003314541212357115
ST_projected_inferior_leads,2.8107463978336627e-42,0.10221814856842382,0.028637357732500524,0.08803208556288979,0.01931764242762188,0.08297442608699812,0.016300521325412178,0.08766254575634712,0.0180756667064142,7.963781460528711e-42
ST_projected_sign_discordance,1.3615513890575825e-48,0.2930372807017544,0.07299511702281611,0.3430989583333333,0.08110369690521332,0.3677685950413223,0.0777535703989212,0.34963768115942034,0.089229060550904,7.715457871326301e-48
