a,b,corr
Tend_disp,Sync_rep,-0.9430417055326101
S_ST_internal_L2,ST_projected_L2,0.8164404521656372
D_rep_old_APDdisp,Sync_rep,-0.8005223849046786
D_rep_old_APDdisp,Tend_disp,0.7634462207544582
tau_rep_disp,Tpeak_maxabs,0.6818682612135257
tau_rep_disp,Tend_disp,0.6077556404103855
tau_rep_disp,Sync_rep,-0.5130849183512476
D_rep_old_APDdisp,S_ST_internal_L2,-0.4166727998035168
S_ST_internal_L2,T_sign_discordance_rate,-0.3595027913821414
tau_rep_disp,T_sign_discordance_rate,-0.3500102382406729
D_rep_old_APDdisp,ST_projected_L2,-0.29315863748681403
ST_projected_L2,T_sign_discordance_rate,-0.2920178954359351
D_rep_old_APDdisp,Tpeak_maxabs,-0.2781269386508777
Tend_disp,Tpeak_maxabs,0.23278230638071723
T_sign_discordance_rate,Tpeak_maxabs,-0.2306339850295866
S_ST_internal_L2,Sync_rep,0.2203488300410588
Tend_disp,ST_projected_L2,-0.21822467306143714
tau_rep_disp,S_ST_internal_L2,0.21039599989530594
ST_projected_L2,Sync_rep,0.2084078538820724
Tend_disp,S_ST_internal_L2,-0.1841345266490337
S_ST_internal_L2,Tpeak_maxabs,0.17234898844330135
Tend_disp,T_sign_discordance_rate,-0.15876400672735996
Sync_rep,T_sign_discordance_rate,0.13612802518584016
Sync_rep,Tpeak_maxabs,-0.12176724001186195
D_rep_old_APDdisp,tau_rep_disp,0.10462920556936735
ST_projected_L2,Tpeak_maxabs,0.05013202320722632
tau_rep_disp,ST_projected_L2,0.042246093354992804
D_rep_old_APDdisp,T_sign_discordance_rate,0.03290702365125833
