comparison,metric,difference,ci_lo,ci_hi,bootstrap_unit,n_boot
C5_minus_C0,macro_auroc,-0.0007771179268950545,-0.003401219562963667,0.001996953087106878,patient,1000
C5_minus_C0,macro_f1,0.004595205022180027,-0.007979979817365623,0.016816551722821284,patient,1000
C5_minus_C0,balanced_accuracy,0.00672969398123624,-0.004646389441024526,0.01754216949582427,patient,1000
