param,identifiability_score
edge_leaf2,56.4426302948187
edge_leaf1,54.91391148024043
q1,48.00613259364286
APD4,46.315577744431906
tau_dep4,43.015912082942855
edge_leaf0,42.85824669820107
APD5,38.72727656228429
edge_leaf4,38.69521498448971
tau_dep3,36.52916510210364
tau_dep2,35.1206535861683
tau_dep5,31.350048742593135
tau_dep7,29.04932293482255
tau_rep4,20.70607908979188
APD7,19.908270990949056
APD3,18.496925868609914
edge_leaf3,18.48994181800835
q6,17.5244213013963
tau_rep5,17.334033528290963
edge_prox1,15.710757592245384
global_gain,15.59511369443152
q4,15.547079492059627
edge_prox0,15.034322891432117
delta_root,11.873246087299146
q2,11.667683592224405
q5,11.473135440473698
q7,11.34661605403923
q3,11.278922293142726
tau_dep6,10.148955325939315
tau_rep7,9.854147122398217
tau_dep1,9.64915687773485
tau_rep3,9.301340500636185
APD2,8.348168890382324
q0,7.777797472402707
tau_rep2,4.705351868799621
APD6,3.052166326290047
tau_dep0,2.3960055312475728
tau_rep1,2.3786448750508766
APD1,1.9282839657046993
tau_rep6,1.3249233758439454
tau_rep0,1.291165654053668
APD0,1.1272041728263495
alpha_ST4,0.37495008265679386
alpha_ST2,0.215712521019715
alpha_ST0,0.17962060066047725
alpha_ST3,0.17933713980693747
alpha_ST5,0.14892594541577953
alpha_ST1,0.1431238362776827
