seed,metric,scope,value
3,lead_median_nrmse,V5,0.3692311644554138
3,lead_median_corr,V6,0.9585599663768212
3,lead_median_nrmse,V6,0.3584235906600952
3,window_median_nrmse,P,1.1390624046325684
3,window_median_nrmse,QRS,0.24965901672840118
3,window_median_nrmse,ST,0.5202412009239197
3,window_median_nrmse,T,0.45471277832984924
4,median_nrmse,all_12lead,0.37608802318573
4,mean_nrmse,all_12lead,0.4125712215900421
4,median_corr,all_12lead,0.9195880933342042
4,mean_corr,all_12lead,0.8915793846806606
4,lead_median_corr,I,0.9435165735602313
4,lead_median_nrmse,I,0.40516287088394165
4,lead_median_corr,II,0.9225382726618949
4,lead_median_nrmse,II,0.44529634714126587
4,lead_median_corr,III,0.9104951927386884
4,lead_median_nrmse,III,0.43063658475875854
4,lead_median_corr,aVR,0.9422883336149479
4,lead_median_nrmse,aVR,0.4014042615890503
4,lead_median_corr,aVL,0.9288415283196985
4,lead_median_nrmse,aVL,0.425045907497406
4,lead_median_corr,aVF,0.9057228005362741
4,lead_median_nrmse,aVF,0.47338753938674927
4,lead_median_corr,V1,0.9585302480140311
4,lead_median_nrmse,V1,0.3497981131076813
4,lead_median_corr,V2,0.9428575075011172
4,lead_median_nrmse,V2,0.3939747214317322
4,lead_median_corr,V3,0.931568064171342
4,lead_median_nrmse,V3,0.4150752127170563
4,lead_median_corr,V4,0.9429855064059698
4,lead_median_nrmse,V4,0.41465604305267334
4,lead_median_corr,V5,0.956217038116838
4,lead_median_nrmse,V5,0.37165600061416626
4,lead_median_corr,V6,0.9605705227732785
4,lead_median_nrmse,V6,0.3607724905014038
4,window_median_nrmse,P,1.3640260696411133
4,window_median_nrmse,QRS,0.2378074824810028
4,window_median_nrmse,ST,0.4513128399848938
4,window_median_nrmse,T,0.4262062907218933
mean5,lead_median_corr,I,0.9424225110277668
sd5,lead_median_corr,I,0.004125987301752958
mean5,lead_median_corr,II,0.9167658901997766
sd5,lead_median_corr,II,0.0069748236500808795
mean5,lead_median_corr,III,0.9105010573742925
sd5,lead_median_corr,III,0.00381602840243948
mean5,lead_median_corr,V1,0.9484673698460837
sd5,lead_median_corr,V1,0.013518540144834543
mean5,lead_median_corr,V2,0.9361125122957104
sd5,lead_median_corr,V2,0.016962972923230596
mean5,lead_median_corr,V3,0.9324412926772988
sd5,lead_median_corr,V3,0.00906929627104133
mean5,lead_median_corr,V4,0.9446188348044998
sd5,lead_median_corr,V4,0.005464556986367881
mean5,lead_median_corr,V5,0.9548493409912465
sd5,lead_median_corr,V5,0.0024438846544352862
mean5,lead_median_corr,V6,0.956713166358831
sd5,lead_median_corr,V6,0.0033498763583881376
mean5,lead_median_corr,aVF,0.8956771734690724
sd5,lead_median_corr,aVF,0.009950693922710894
mean5,lead_median_corr,aVL,0.9321322275960162
sd5,lead_median_corr,aVL,0.005624682251820467
mean5,lead_median_corr,aVR,0.9379337662219067
sd5,lead_median_corr,aVR,0.004430572050165436
mean5,lead_median_nrmse,I,0.4060352802276611
sd5,lead_median_nrmse,I,0.014225417122919099
mean5,lead_median_nrmse,II,0.46368560791015623
sd5,lead_median_nrmse,II,0.011831268948823664
mean5,lead_median_nrmse,III,0.43212775588035585
sd5,lead_median_nrmse,III,0.008781463288986801
mean5,lead_median_nrmse,V1,0.38737704157829284
sd5,lead_median_nrmse,V1,0.04466526272776041
mean5,lead_median_nrmse,V2,0.40620320439338686
sd5,lead_median_nrmse,V2,0.03719333463963022
mean5,lead_median_nrmse,V3,0.41391260027885435
sd5,lead_median_nrmse,V3,0.024881263419268527
mean5,lead_median_nrmse,V4,0.40574110150337217
sd5,lead_median_nrmse,V4,0.014667137331142898
mean5,lead_median_nrmse,V5,0.3729586064815521
sd5,lead_median_nrmse,V5,0.004987705132997922
mean5,lead_median_nrmse,V6,0.370518696308136
sd5,lead_median_nrmse,V6,0.012205343337302317
mean5,lead_median_nrmse,aVF,0.4946285307407379
sd5,lead_median_nrmse,aVF,0.01566286725515221
mean5,lead_median_nrmse,aVL,0.41176912784576414
sd5,lead_median_nrmse,aVL,0.01753944947399942
mean5,lead_median_nrmse,aVR,0.41113548874855044
sd5,lead_median_nrmse,aVR,0.010024934224704718
mean5,mean_corr,all_12lead,0.8892834707016682
sd5,mean_corr,all_12lead,0.004426678413882791
mean5,mean_nrmse,all_12lead,0.4195540249347687
sd5,mean_nrmse,all_12lead,0.010216347354889908
mean5,median_corr,all_12lead,0.9178463702784864
sd5,median_corr,all_12lead,0.003599805784109563
mean5,median_nrmse,all_12lead,0.38343688249588015
sd5,median_nrmse,all_12lead,0.010193636775821748
mean5,window_median_nrmse,P,1.3040353775024414
sd5,window_median_nrmse,P,0.23925012710062463
mean5,window_median_nrmse,QRS,0.24022220075130463
sd5,window_median_nrmse,QRS,0.0069892828500315194
mean5,window_median_nrmse,ST,0.4858929932117462
sd5,window_median_nrmse,ST,0.027880649148343237
mean5,window_median_nrmse,T,0.4468323886394501
sd5,window_median_nrmse,T,0.022986419921391325
