test,seed,variant,n_features,note,macro_auroc,macro_auprc,macro_f1,balanced_accuracy,recall_NORM,recall_MI,recall_STTC,recall_CD,auroc_NORM,auroc_MI,auroc_STTC,auroc_CD,MI_to_NORM,MI_support,metric,difference,ci_lo,ci_hi,crosses_zero,bootstrap_unit,n_boot
T1_paired_delta,2,C5_plus_OBS37_minus_C5,,,,,,,,,,,,,,,,,macro_auroc,0.0098438905595064,0.0052405553583073,0.0149768952401768,False,patient,1000.0
T1_paired_delta,2,C5_plus_OBS37_minus_C5,,,,,,,,,,,,,,,,,balanced_accuracy,0.0105924320336977,-0.004382600477338,0.0256093666782522,True,patient,1000.0
T1_paired_delta,2,C5_plus_OBS37_minus_C5,,,,,,,,,,,,,,,,,macro_f1,0.0055193627502995,-0.0092071724306438,0.0209335155850715,True,patient,1000.0
T1_variant,3,C5,71.0,locked submitted model (47 theta + 16 rep + 6 ST_projected + 2 stab),0.8951280230925194,0.7665618157109535,0.6955319673624183,0.6543754649154327,0.9429824561403508,0.4375,0.6446280991735537,0.592391304347826,0.8963172686114114,0.8681655222346787,0.930286933346374,0.8857423681776133,104.0,256.0,,,,,,,
T1_variant,3,C5_obs,71.0,oracle: the 6 reconstruction-ECG descriptors in C5 swapped for obs_ twins,0.899956485756656,0.7744225065669728,0.7071248169863176,0.6679098537348469,0.944078947368421,0.44921875,0.6859504132231405,0.592391304347826,0.9021823712507074,0.873070230754858,0.9382335322020636,0.8863398088189948,105.0,256.0,,,,,,,
T1_variant,3,C5_drop,65.0,the same 6 descriptors deleted (no replacement),0.896181258470257,0.763012609801388,0.6926354895104895,0.6520863904970498,0.9407894736842104,0.44140625,0.6446280991735537,0.5815217391304348,0.8987755312033749,0.8658620609118086,0.927927404763069,0.8921600370027751,101.0,256.0,,,,,,,
T1_variant,3,REC37_only,37.0,"descriptor-only head, 37 reconstruction-domain descriptors",0.8480744576155604,0.6821839675935637,0.6319527699935102,0.5946344104990513,0.9396929824561404,0.3203125,0.6239669421487604,0.4945652173913043,0.8556168647425014,0.7767189835575484,0.9174164995843318,0.8425454825778601,127.0,256.0,,,,,,,
T1_variant,3,OBS37_only,37.0,"descriptor-only head, the 37 observation-domain twins",0.8420018954506242,0.6730866038194738,0.6252290026134324,0.5926839572853037,0.9375,0.3046875,0.6611570247933884,0.4673913043478261,0.860886292894994,0.7647958707025411,0.9176029390190228,0.8247224791859388,129.0,256.0,,,,,,,
T1_variant,3,C5_plus_OBS37,108.0,"supplementary, NOT dimension-matched: C5 augmented with all 37 obs twins",0.9039211226327027,0.7816262854546602,0.7125610136933866,0.6756798944957164,0.944078947368421,0.453125,0.6859504132231405,0.6195652173913043,0.9044107243916242,0.8701303251121076,0.9386033546872709,0.9025400863398088,103.0,256.0,,,,,,,
T1_paired_delta,3,C5_obs_minus_C5,,,,,,,,,,,,,,,,,macro_auroc,0.0048284626641366,0.0019037488840293,0.0080289385794097,False,patient,1000.0
T1_paired_delta,3,C5_obs_minus_C5,,,,,,,,,,,,,,,,,balanced_accuracy,0.0135343888194141,8.744255596317981e-05,0.0271569880029523,False,patient,1000.0
T1_paired_delta,3,C5_obs_minus_C5,,,,,,,,,,,,,,,,,macro_f1,0.0115928496238992,-0.0024577756358553,0.0256606502136354,True,patient,1000.0
T1_paired_delta,3,C5_drop_minus_C5,,,,,,,,,,,,,,,,,macro_auroc,0.0010532353777376,-0.0013197862530778,0.0036921209671027,True,patient,1000.0
T1_paired_delta,3,C5_drop_minus_C5,,,,,,,,,,,,,,,,,balanced_accuracy,-0.0022890744183829,-0.0140658940772774,0.0087231086810998,True,patient,1000.0
T1_paired_delta,3,C5_drop_minus_C5,,,,,,,,,,,,,,,,,macro_f1,-0.0028964778519288,-0.0156813309743758,0.0083583449718408,True,patient,1000.0
T1_paired_delta,3,OBS37_only_minus_REC37_only,,,,,,,,,,,,,,,,,macro_auroc,-0.0060725621649362,-0.0190609782513326,0.0061702362649061,True,patient,1000.0
T1_paired_delta,3,OBS37_only_minus_REC37_only,,,,,,,,,,,,,,,,,balanced_accuracy,-0.0019504532137476,-0.0232704220383202,0.0185355888479144,True,patient,1000.0
T1_paired_delta,3,OBS37_only_minus_REC37_only,,,,,,,,,,,,,,,,,macro_f1,-0.0067237673800778,-0.0328016983186012,0.0177754180649117,True,patient,1000.0
T1_paired_delta,3,C5_plus_OBS37_minus_C5,,,,,,,,,,,,,,,,,macro_auroc,0.0087930995401834,0.0043517567448302,0.0138061192195626,False,patient,1000.0
T1_paired_delta,3,C5_plus_OBS37_minus_C5,,,,,,,,,,,,,,,,,balanced_accuracy,0.0213044295802836,0.0066924966243834,0.0346140240329503,False,patient,1000.0
T1_paired_delta,3,C5_plus_OBS37_minus_C5,,,,,,,,,,,,,,,,,macro_f1,0.0170290463309683,0.0005716274328152,0.0320559992374954,False,patient,1000.0
T1_variant,4,C5,71.0,locked submitted model (47 theta + 16 rep + 6 ST_projected + 2 stab),0.9019863524773204,0.773211410871909,0.7038151707862634,0.6629209454646318,0.9364035087719298,0.5,0.6446280991735537,0.5706521739130435,0.9012209317281472,0.8820972300074739,0.9351190767274684,0.8895081714461918,95.0,256.0,,,,,,,
T1_variant,4,C5_obs,71.0,oracle: the 6 reconstruction-ECG descriptors in C5 swapped for obs_ twins,0.9064415651045252,0.7783875911661208,0.7051971537595314,0.6649439001223751,0.9364035087719298,0.48046875,0.6776859504132231,0.5652173913043478,0.906639077532541,0.8883857670029895,0.9395141571715,0.8912272587110701,102.0,256.0,,,,,,,
T1_variant,4,C5_drop,65.0,the same 6 descriptors deleted (no replacement),0.9018453095191185,0.7726722052273045,0.6980379627920372,0.65505390778166,0.9396929824561404,0.48046875,0.6239669421487604,0.5760869565217391,0.9007595050676545,0.883889784192825,0.9336092229448874,0.889122725871107,98.0,256.0,,,,,,,
T1_variant,4,REC37_only,37.0,"descriptor-only head, 37 reconstruction-domain descriptors",0.8538869535976702,0.6866546192893261,0.6351997935383398,0.5969918986515876,0.9473684210526316,0.3125,0.628099173553719,0.5,0.8628935792560581,0.7891179699177877,0.913987236539684,0.8495490286771509,124.0,256.0,,,,,,,
T1_variant,4,OBS37_only,37.0,"descriptor-only head, the 37 observation-domain twins",0.842505873823602,0.669166103959514,0.6233943758972098,0.5899566052663099,0.9353070175438596,0.3125,0.6446280991735537,0.4673913043478261,0.8610205407213047,0.764127312219731,0.9174164995843316,0.8274591427690409,129.0,256.0,,,,,,,
T1_variant,4,C5_plus_OBS37,108.0,"supplementary, NOT dimension-matched: C5 augmented with all 37 obs twins",0.9098856936434034,0.7860634909527054,0.7087215786460092,0.66793168973908,0.9396929824561404,0.5,0.6776859504132231,0.5543478260869565,0.9095217883418222,0.8853436799327353,0.9406725267739252,0.9040047795251313,96.0,256.0,,,,,,,
T1_paired_delta,4,C5_obs_minus_C5,,,,,,,,,,,,,,,,,macro_auroc,0.0044552126272048,0.0014423841632302,0.0076510001011679,False,patient,1000.0
T1_paired_delta,4,C5_obs_minus_C5,,,,,,,,,,,,,,,,,balanced_accuracy,0.0020229546577433,-0.0108407153674218,0.0149319933136394,True,patient,1000.0
T1_paired_delta,4,C5_obs_minus_C5,,,,,,,,,,,,,,,,,macro_f1,0.0013819829732679,-0.0115462968798839,0.0142587811852308,True,patient,1000.0
T1_paired_delta,4,C5_drop_minus_C5,,,,,,,,,,,,,,,,,macro_auroc,-0.0001410429582019,-0.0026173739326168,0.0022969840860421,True,patient,1000.0
T1_paired_delta,4,C5_drop_minus_C5,,,,,,,,,,,,,,,,,balanced_accuracy,-0.0078670376829718,-0.018512736705501,0.0029467044423718,True,patient,1000.0
T1_paired_delta,4,C5_drop_minus_C5,,,,,,,,,,,,,,,,,macro_f1,-0.0057772079942262,-0.0172555220682942,0.0061919916192548,True,patient,1000.0
T1_paired_delta,4,OBS37_only_minus_REC37_only,,,,,,,,,,,,,,,,,macro_auroc,-0.0113810797740682,-0.0239531093193735,0.0025969596464952,True,patient,1000.0
T1_paired_delta,4,OBS37_only_minus_REC37_only,,,,,,,,,,,,,,,,,balanced_accuracy,-0.0070352933852777,-0.0284914367959239,0.0137049182406667,True,patient,1000.0
T1_paired_delta,4,OBS37_only_minus_REC37_only,,,,,,,,,,,,,,,,,macro_f1,-0.0118054176411299,-0.0362873820959706,0.0121372131410325,True,patient,1000.0
T1_paired_delta,4,C5_plus_OBS37_minus_C5,,,,,,,,,,,,,,,,,macro_auroc,0.0078993411660831,0.0036851252909912,0.012655725304612,False,patient,1000.0
T1_paired_delta,4,C5_plus_OBS37_minus_C5,,,,,,,,,,,,,,,,,balanced_accuracy,0.0050107442744482,-0.0107581810619751,0.0208944826087157,True,patient,1000.0
T1_paired_delta,4,C5_plus_OBS37_minus_C5,,,,,,,,,,,,,,,,,macro_f1,0.0049064078597457,-0.0117378839033374,0.021081667657446,True,patient,1000.0
T1b_variant,42,C5,71.0,control,0.9014108235762697,,0.695127920842443,0.6542215786459613,0.9342105263157895,0.48828125,0.6074380165289256,0.5869565217391305,,,,,97.0,,,,,,,,
T1b_variant,42,C5_obsA,71.0,only the 4 FAITHFULLY reconstructed descriptors (r .82-.95) swapped to obs,0.9017681302851154,,0.699881644929829,0.6565687551810491,0.9396929824561403,0.4921875,0.6074380165289256,0.5869565217391305,,,,,97.0,,,,,,,,
T1b_variant,42,C5_obsC,71.0,only the 2 NOT-RECOVERED descriptors (r .27-.37) swapped to obs,0.9032820018137118,,0.7139044763489797,0.6750046220670929,0.9418859649122807,0.4921875,0.6735537190082644,0.592391304347826,,,,,94.0,,,,,,,,
T1b_paired_delta,42,C5_obsA_minus_C5,,,,,,,,,,,,,,,,,macro_auroc,0.00035730670884570603,-0.0016051687441493352,0.0023629127088500845,True,patient,1000.0
T1b_paired_delta,42,C5_obsC_minus_C5,,,,,,,,,,,,,,,,,macro_auroc,0.0018711782374420949,-0.0010583790261438574,0.004969722978765128,True,patient,1000.0
T1b_variant,1,C5,71.0,control,0.902341113552184,,0.6927706906782376,0.6541286694337015,0.9298245614035088,0.44140625,0.6528925619834711,0.592391304347826,,,,,107.0,,,,,,,,
T1b_variant,1,C5_obsA,71.0,only the 4 FAITHFULLY reconstructed descriptors (r .82-.95) swapped to obs,0.9051154740054503,,0.6927203384486857,0.651702299676608,0.9375,0.4375,0.6611570247933884,0.5706521739130435,,,,,109.0,,,,,,,,
T1b_variant,1,C5_obsC,71.0,only the 2 NOT-RECOVERED descriptors (r .27-.37) swapped to obs,0.9057289992860775,,0.6962913838229683,0.6600751237344844,0.9364035087719298,0.4296875,0.6818181818181818,0.592391304347826,,,,,107.0,,,,,,,,
T1b_paired_delta,1,C5_obsA_minus_C5,,,,,,,,,,,,,,,,,macro_auroc,0.002774360453266289,0.0005887064029992784,0.0049588590778009535,False,patient,1000.0
T1b_paired_delta,1,C5_obsC_minus_C5,,,,,,,,,,,,,,,,,macro_auroc,0.003387885733893481,0.0006333532287952832,0.006087751772906029,False,patient,1000.0
T1b_variant,2,C5,71.0,control,0.899511295720343,,0.7175228575539929,0.6691916216427589,0.9484649122807017,0.51171875,0.640495867768595,0.5760869565217391,,,,,102.0,,,,,,,,
T1b_variant,2,C5_obsA,71.0,only the 4 FAITHFULLY reconstructed descriptors (r .82-.95) swapped to obs,0.9015670766011866,,0.7108844985961678,0.6657632458543727,0.9418859649122807,0.4921875,0.6528925619834711,0.5760869565217391,,,,,103.0,,,,,,,,
T1b_variant,2,C5_obsC,71.0,only the 2 NOT-RECOVERED descriptors (r .27-.37) swapped to obs,0.9012679246756662,,0.7134139794880873,0.668639811594991,0.9396929824561403,0.4921875,0.6611570247933884,0.5815217391304348,,,,,104.0,,,,,,,,
T1b_paired_delta,2,C5_obsA_minus_C5,,,,,,,,,,,,,,,,,macro_auroc,0.002055780880843572,-2.0337095689990063e-05,0.004359225325268217,True,patient,1000.0
T1b_paired_delta,2,C5_obsC_minus_C5,,,,,,,,,,,,,,,,,macro_auroc,0.0017566289553231362,-0.001177227152587504,0.004852756206217101,True,patient,1000.0
T1b_variant,3,C5,71.0,control,0.8951280230925194,,0.6955319673624183,0.6543754649154327,0.9429824561403509,0.4375,0.6446280991735537,0.592391304347826,,,,,104.0,,,,,,,,
T1b_variant,3,C5_obsA,71.0,only the 4 FAITHFULLY reconstructed descriptors (r .82-.95) swapped to obs,0.8966299403536604,,0.6972237206654843,0.6574696581118287,0.9418859649122807,0.44140625,0.6487603305785123,0.5978260869565217,,,,,104.0,,,,,,,,
T1b_variant,3,C5_obsC,71.0,only the 2 NOT-RECOVERED descriptors (r .27-.37) swapped to obs,0.897369648917399,,0.7096213665905905,0.6697652800071392,0.9473684210526315,0.44921875,0.6900826446280992,0.592391304347826,,,,,102.0,,,,,,,,
T1b_paired_delta,3,C5_obsA_minus_C5,,,,,,,,,,,,,,,,,macro_auroc,0.001501917261141017,-0.0008340828409145573,0.004020610063596391,True,patient,1000.0
T1b_paired_delta,3,C5_obsC_minus_C5,,,,,,,,,,,,,,,,,macro_auroc,0.002241625824879634,-0.0005350268521465085,0.005083779500071461,True,patient,1000.0
T1b_variant,4,C5,71.0,control,0.9019863524773203,,0.7038151707862634,0.6629209454646318,0.9364035087719298,0.5,0.6446280991735537,0.5706521739130435,,,,,95.0,,,,,,,,
T1b_variant,4,C5_obsA,71.0,only the 4 FAITHFULLY reconstructed descriptors (r .82-.95) swapped to obs,0.904313083297546,,0.7067657485805808,0.6658589869138125,0.9353070175438597,0.4921875,0.6652892561983471,0.5706521739130435,,,,,96.0,,,,,,,,
T1b_variant,4,C5_obsC,71.0,only the 2 NOT-RECOVERED descriptors (r .27-.37) swapped to obs,0.9046178302699657,,0.7004244639084075,0.6577636592548115,0.9353070175438597,0.484375,0.6570247933884298,0.5543478260869565,,,,,105.0,,,,,,,,
T1b_paired_delta,4,C5_obsA_minus_C5,,,,,,,,,,,,,,,,,macro_auroc,0.0023267308202257198,0.00021995348009645201,0.004632523074894188,False,patient,1000.0
T1b_paired_delta,4,C5_obsC_minus_C5,,,,,,,,,,,,,,,,,macro_auroc,0.002631477792645387,-5.168422113614439e-05,0.0052254311224466735,True,patient,1000.0
