device,comparison,max_abs_diff,median_abs_diff,p999_abs_diff,frac_elements_nonzero,theta_table_sd,quantity,frozen_sd,frozen_iqr
cuda,clean_only_pass_vs_frozen,1.1920166009815603e-07,1.1828231727406546e-09,1.0677117922331059e-07,0.9999891646339069,0.6324630348394412,,,
cuda,pooled_pass_vs_frozen,0.00040911000366206096,1.2632179191562898e-09,7.451876172759313e-05,0.9999891646339069,0.6324630348394412,,,
cuda,pooled_vs_clean_only,0.00040912628173828125,0.0,7.450580596923828e-05,0.022166450185081597,0.6324630348394412,,,
cpu,clean_only_pass_vs_frozen,0.0004992734222413198,2.3840063476596174e-06,0.00024170314246679952,1.0,0.6324630348394412,,,
cpu,pooled_pass_vs_frozen,0.0004992734222413198,2.384010181426255e-06,0.00024170314246679952,1.0,0.6324630348394412,,,
cpu,pooled_vs_clean_only,4.76837158203125e-07,0.0,2.384185791015625e-07,0.039043887295939585,0.6324630348394412,,,
,,,,,,,m_proxy,2.4662127457135483,3.2646662195711187
,,,,,,,ST_projected_L2,0.04042501277554812,0.0426899698072179
,,,,,,,Sync_rep,0.11459279057891851,0.17269619
,,,,,,,Tend_disp,0.07808916340447364,0.11911630000000004
,,,,,,,D_act,0.0019285823257859703,0.0019505339999999899
,,,,,,,theta_0,0.003653910188734824,0.003682530000000017
,,,,,,,theta_23,0.0023081406831383655,0.001998599
