derived_lead,coef_I_scaled,coef_II_scaled,const_scaled,coef_I_physical,coef_II_physical,const_physical,deviation_pct_I,deviation_pct_II,expected_I,expected_II,expected_C,max_abs_diff_vs_expected,iqr_I_mV,iqr_II_mV,iqr_derived_mV,median_I_mV,median_II_mV,median_derived_mV
III,-1.0761683688215873,1.422318396763354,-0.0244228147643337,-1.0,1.0,0.0,-7.6168368821587285,42.23183967633539,-1.0762,1.4223,-0.0244,3.1631178412760974e-05,0.05108547955751419,0.06751714646816254,0.04746978357434273,-0.02837103232741356,-0.026385556906461716,0.0031448211520910263
aVR,-0.45069078194054696,-0.5956556696677763,-0.02100860000247149,-0.5,-0.5,0.0,9.861843611890608,-19.131133933555255,-0.4507,-0.5957,-0.021,4.433033222372984e-05,0.05108547955751419,0.06751714646816254,0.056674644351005554,-0.02837103232741356,-0.026385556906461716,0.028568949550390244
aVL,1.393664199096715,-0.9209684500652463,-0.0390106751873036,1.0,-0.5,0.0,39.36641990967149,-84.19369001304926,1.3937,-0.921,-0.039,3.5800903285032604e-05,0.05108547955751419,0.06751714646816254,0.03665551543235779,-0.02837103232741356,-0.026385556906461716,-0.013748297467827797
aVF,-0.5092936410873871,1.3462163283360253,-0.04038627592909856,-0.5,1.0,0.0,-1.8587282174774122,34.62163283360253,-0.5093,1.3462,-0.0404,1.632833602527306e-05,0.05108547955751419,0.06751714646816254,0.05015326663851738,-0.02837103232741356,-0.026385556906461716,-0.01017453707754612
